D1,D2,D3,D4,D4_1,D4_2,p2q1 [OS1],p2q1 [OS2],p2q1 [OS3],p2q2 [OA1],p2q2 [OA2],p3q1E [OD1],p3q1E [OD2],p3q1E [OD3],p3q1E [OD4],p3q1E [OD5],p3q1T [OD1],p3q1T [OD2],p3q1T [OD3],p3q1T [OD6],p3q1T [OD4],p3q1T [OD5],p3q2E [OD_E1],p3q2E [OD_E2],p3q2E [OD_E3],p3q2E [OD_E4],p3q2T [OD_E1],p3q2T [OD_E2],p3q2T [OD_E3],p3q2T [OD_E5],p3q2T [OD_E4],p4q1T [1],p4q1T [2],p4q1T [3],p4q1T [4],p4q1T [5],p4q1T [6],p4q1T [7],p4q1T [8],p4q1T_O,p4q1E [1],p4q1E [2],p4q1E [3],p4q1E [4],p4q1E [5],p4q1E [6],p4q1E [7],p4q1E_O,p4q2,p4q2_O,p5q1 [SQ002],p5q1 [SQ001],p5q1 [SQ004],p5q1 [SQ005],p5q1_N,p5q2 [1],p5q2 [2],p5q2 [3],p5q2 [4],p5q2 [5],p5q2 [6],p5q2 [7],p5q2 [8],p5q2 [9],p6q1 [1],p6q1 [2],p6q1 [3],p6q1 [4],p6q2E [1],p6q2E [2],p6q2E [3],p6q2E [4],p6q2T [1],p6q2T [2],p6q2T [3],p6q2T [4],p7q1E [1],p7q1E [2],p7q1E [3],p7q1E [4],p7q1E [5],p7q1T [1],p7q1T [2],p7q1T [3],p7q2,p8q1 [1],p8q1 [2],p8q1 [3],p8q1 [4],p8q1 [5],p8q1 [6],p8q2 [1],p8q2 [2],p8q2 [3],p8q2 [4],p8q2 [5],p8q2 [6],p8q2 [7],p8q3 [1],p8q3 [2],p8q3 [3],p8q3 [4]
Prefer not to say,United States of America,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,Yes,Yes,No,No,,Not at all affect,Rarely affect,Rarely affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Rarely affect,Neutral,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly agree,Strongly agree,,,,,Very helpful,Very helpful,Very helpful,Somewhat helpful,Very helpful,,,,,Daily,Monthly,Weekly,Daily,Daily,Daily,Very satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Rarely affect,Affect a lot,Affect a lot,Neutral
Female,Belgium,5 - 10 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,No,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,The funding bodies or institutions should decide and develop policies for researchers to follow.,,Yes,No,No,No,,Not at all affect,Affect a lot,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Neutral,Strongly agree,Strongly disagree,Strongly disagree,Neutral,Strongly agree,Neutral,Strongly agree,,,,,Somewhat helpful,Neutral,Somewhat helpful,Somewhat helpful,Neutral,,,,,Daily,Daily,Daily,Monthly,Daily,Less than once a year,Moderately satisfied,Moderately satisfied,Very satisfied,Very satisfied,No experience,Very satisfied,No experience,Neutral,Neutral,Affect a lot,Affect a lot
Male,Germany,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Yes,No,No,No,No,No,No,No,No,No,No,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,Yes,No,No,,Each collaboration or team should decide for their work.,,No,Yes,No,No,,Somewhat affect,Somewhat affect,Rarely affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Somewhat disagree,,,,,Very unhelpful,Very unhelpful,Very unhelpful,Neutral,Very unhelpful,,,,,Weekly,Weekly,Daily,Daily,Daily,Weekly,Very satisfied,Moderately satisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Very satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Affect a lot,Neutral
Male,Italy,11 - 15 years,Theory,,,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,No,No,No,No,No,No,No,No,No,No,Yes,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Each individual researcher should decide for their work autonomously.,,No,No,Yes,No,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly agree,Neutral,Strongly agree,Strongly agree,,,,,Neutral,Neutral,Neutral,Neutral,,,,,,Neutral,Neutral,Neutral,,Less than once a year,Less than once a year,Less than once a year,Less than once a year,Less than once a year,Less than once a year,No experience,No experience,No experience,No experience,No experience,No experience,No experience,Neutral,Neutral,Neutral,Neutral
Male,Switzerland,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,No,No,No,No,Yes,No,No,No,No,No,No,Neutral,Somewhat agree,Strongly disagree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,The HEP community as a whole should decide and set practices.,,No,No,Yes,No,,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,Very unhelpful,Very helpful,Very helpful,Very helpful,Very unhelpful,,,,,Daily,Less than once a year,Daily,Less than once a year,Daily,Less than once a year,Very satisfied,Very dissatisfied,Very dissatisfied,No experience,No experience,Moderately satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,No,No,No,No,Yes,No,No,No,No,No,No,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Not at all affect,Neutral,Rarely affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Rarely affect,Not at all affect,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,,,,,Somewhat helpful,Very helpful,Neutral,Neutral,Somewhat unhelpful,,,,,Daily,Once a year,Weekly,Weekly,Weekly,Less than once a year,Very satisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,Moderately satisfied,Moderately dissatisfied,Moderately satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
Male,Netherlands,5 - 10 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,Yes,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Somewhat affect,Affect a lot,Neutral,Affect a lot,Neutral,Somewhat affect,Affect a lot,Neutral,Not at all affect,Neutral,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,,,,,Very helpful,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful,,,,"If we are being honest, the only justification against open data is selfish advantage. For the progress of the field, researchers should always default to open data unless there are other extenuating factors. Just look at the revolution brought about by open source software!",Daily,Weekly,Weekly,Weekly,Daily,Daily,Very satisfied,Moderately dissatisfied,Moderately satisfied,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,Moderately satisfied,Neutral,Affect a lot,Affect a lot,Affect a lot
Female,United States of America,5 - 10 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Yes,No,No,No,No,No,No,No,No,No,No,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,No,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Neutral,,,,,Somewhat helpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,,,,,Weekly,Monthly,Daily,Monthly,Daily,Less than once a year,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,No experience,Neither satisfied nor dissatisfied,No experience,Affect a lot,Somewhat affect,Affect a lot,Affect a lot
Prefer not to say,United States of America,more than 20 years,Theory,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,No,No,No,Yes,Yes,No,No,Yes,No,,,,,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,No,Yes,No,No,No,No,No,No,,No,No,No,No,No,No,No,,Each individual researcher should decide for their work autonomously.,,Yes,Yes,No,No,,Neutral,Somewhat affect,Not at all affect,Neutral,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Somewhat disagree,Strongly agree,Strongly disagree,Strongly disagree,,,,,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,,,,,,Very helpful,Somewhat helpful,Very helpful,,Once a year,Less than once a year,Once every 3 months,Once a year,Monthly,Less than once a year,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,No experience,No experience,Very dissatisfied,No experience,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
Male,France,less than 5 years,Experiment,> 500 members,,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Yes,Yes,No,No,No,No,No,No,No,No,No,Somewhat agree,Strongly disagree,Neutral,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Rarely affect,Affect a lot,Neutral,Somewhat affect,Rarely affect,Rarely affect,Not at all affect,Somewhat affect,Affect a lot,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,,,,,Very unhelpful,Very unhelpful,Somewhat helpful,Somewhat helpful,Somewhat unhelpful,,,,,Daily,Weekly,Daily,Weekly,Daily,Less than once a year,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Neutral,Neutral,Somewhat affect,Affect a lot
Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,No,No,No,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,,No,No,No,No,No,No,No,No,,No,Yes,Yes,Yes,No,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful,,,,,Weekly,Weekly,Weekly,Weekly,Weekly,Less than once a year,Very satisfied,Moderately satisfied,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot
Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,No,No,No,No,Yes,No,No,No,No,No,No,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,Yes,Yes,No,No,,Each collaboration or team should decide for their work.,,No,Yes,No,No,,Rarely affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,,,,,Somewhat unhelpful,Neutral,Somewhat helpful,Very helpful,Somewhat unhelpful,,,,,Daily,Less than once a year,Weekly,Weekly,Daily,Once every 3 months,Moderately satisfied,No experience,Neither satisfied nor dissatisfied,Moderately satisfied,No experience,Very satisfied,No experience,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
Male,United States of America,more than 20 years,Experiment,< 20 members,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,No,No,No,No,No,No,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,,,,,No,No,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,,Each individual researcher should decide for their work autonomously.,,No,No,No,Yes,I put much effort into my research so why should I let someone that does nothing have access to my work?,Affect a lot,Not at all affect,Affect a lot,Not at all affect,Not at all affect,Rarely affect,Not at all affect,Affect a lot,Affect a lot,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,,,,,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful,,,,,Less than once a year,Less than once a year,Less than once a year,Monthly,Twice a year,Less than once a year,No experience,No experience,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No experience,Neither satisfied nor dissatisfied,Very dissatisfied,Somewhat affect,Neutral,Neutral,Neutral
Male,Germany,5 - 10 years,Experiment,> 500 members,,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat disagree,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,,,,,,No,No,No,No,No,No,No,No,,No,No,Yes,Yes,Yes,No,No,,The HEP community as a whole should decide and set practices.,,Yes,Yes,No,No,,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Neutral,Affect a lot,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,,,,,Very helpful,Very helpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,,,,,Daily,Daily,Weekly,Daily,Daily,Daily,Very satisfied,Moderately satisfied,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,Very satisfied,Affect a lot,Affect a lot,Affect a lot,Neutral
Female,Czech Republic,5 - 10 years,Experiment,> 500 members,,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Somewhat agree,Strongly agree,Strongly agree,Neutral,,,,,,No,No,No,No,No,No,No,No,,No,Yes,No,No,No,No,No,,Each collaboration or team should decide for their work.,,Yes,Yes,No,No,,Neutral,Affect a lot,Not at all affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,,,,,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Very helpful,,,,,Daily,Once every 3 months,Weekly,Once every 3 months,Daily,Twice a year,Very satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,Very satisfied,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect
