Gender,D2,D3,D4,D4_1,D4_2,p2q1 [OS1],p2q1 [OS2],p2q1 [OS3],p2q2 [OA1],p2q2 [OA2],p3q1E [OD1],p3q1E [OD2],p3q1E [OD3],p3q1E [OD4],p3q1E [OD5],p3q1T [OD1],p3q1T [OD2],p3q1T [OD3],p3q1T [OD6],p3q1T [OD4],p3q1T [OD5],p3q2E [OD_E1],p3q2E [OD_E2],p3q2E [OD_E3],p3q2E [OD_E4],p3q2T [OD_E1],p3q2T [OD_E2],p3q2T [OD_E3],p3q2T [OD_E4],p3q2T [OD_E5],p4q1T [1],p4q1T [2],p4q1T [3],p4q1T [4],p4q1T [5],p4q1T [6],p4q1T [7],p4q1T [8],p4q1T_O,p4q1E [1],p4q1E [2],p4q1E [3],p4q1E [4],p4q1E [5],p4q1E [6],p4q1E [7],p4q1E_O,p4q2,p4q2_O,p5q1 [SQ002],p5q1 [SQ001],p5q1 [SQ004],p5q1 [SQ005],p5q1_N,p5q2 [1],p5q2 [2],p5q2 [3],p5q2 [4],p5q2 [5],p5q2 [6],p5q2 [7],p5q2 [8],p5q2 [9],p6q1 [1],p6q1 [2],p6q1 [3],p6q1 [4],p6q2E [1],p6q2E [2],p6q2E [3],p6q2E [4],p6q2T [1],p6q2T [2],p6q2T [3],p6q2T [4],p7q1E [1],p7q1E [2],p7q1E [3],p7q1E [4],p7q1E [5],p7q1T [1],p7q1T [2],p7q1T [3],p7q2,p8q1 [1],p8q1 [2],p8q1 [3],p8q1 [4],p8q1 [5],p8q1 [6],p8q2 [1],p8q2 [2],p8q2 [3],p8q2 [4],p8q2 [5],p8q2 [6],p8q2 [7],p8q3 [1],p8q3 [2],p8q3 [3],p8q3 [4]
M,Austria,Junior,EX,> 500 ,,5,5,5,5,5,Y,Y,Y,N,N,N,N,N,N,N,N,4,4,4,5,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,Y,Y,N,N,,collab,,Y,Y,N,N,,2,5,4,3,5,5,4,4,5,1,5,4,2,3,3,4,5,,,,,3,4,5,4,3,,,,,Daily,Once every 3 months,Once every 3 months,Weekly,Weekly,Monthly,5,0,0,5,5,5,5,4,5,5,4
M,Georgia,Junior,EX,> 500 ,,4,3,3,3,3,N,N,N,N,Y,N,N,N,N,N,N,4,4,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,funder,,N,N,Y,N,,4,4,4,4,4,4,4,4,4,1,5,4,4,3,4,3,3,,,,,3,3,4,4,3,,,,,Weekly,Monthly,Daily,Once a year,Weekly,Less than once a year,5,4,4,4,0,5,0,4,4,5,4
M,Italy,Senior,EX,51 - 100 ,,5,5,5,5,5,N,N,Y,Y,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,N,Y,N,N,,4,4,4,4,5,4,4,4,4,4,4,5,5,2,2,2,3,,,,,5,5,5,5,5,,,,,Weekly,Once every 3 months,Less than once a year,Daily,Weekly,Weekly,5,2,2,5,2,4,4,4,5,5,4
M,United States of America,Junior,EX,> 500 ,,5,5,5,5,5,Y,Y,Y,Y,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,Y,Y,N,N,,individual,,Y,Y,N,N,,1,3,5,4,5,4,5,5,5,5,5,5,4,4,5,3,4,,,,,2,4,4,4,4,,,,passing down scripted workflows creates a real blackbox lack of understanding. click & collect should Nt be encouraged.,Weekly,Weekly,Weekly,Weekly,Weekly,Less than once a year,2,2,1,4,2,1,1,4,5,5,4
M,Spain,Junior,EX,> 500 ,,4,4,4,4,4,Y,N,N,N,N,N,N,N,N,N,N,3,4,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,community,,Y,Y,N,N,,3,3,3,3,3,3,4,4,2,4,5,2,4,2,4,2,2,,,,,2,3,4,4,3,,,,,Weekly,Daily,Weekly,Weekly,Daily,Monthly,1,1,2,1,0,1,2,4,5,5,4
M,United States of America,Junior,EX,> 500 ,,5,5,5,4,3,Y,N,N,N,N,N,N,N,N,N,N,4,4,3,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,Y,N,N,,collab,,N,N,Y,N,,5,5,2,4,4,4,5,4,4,1,5,2,2,3,4,3,4,,,,,4,4,5,5,4,,,,,Daily,Monthly,Weekly,Daily,Weekly,Once every 3 months,5,3,2,5,0,4,4,4,5,5,5
M,Russian Federation,Junior,EX,> 500 ,,3,4,3,2,3,N,Y,N,N,N,N,N,N,N,N,N,2,3,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,N,N,N,N,N,,collab,,Y,Y,N,N,,5,3,2,4,4,4,5,2,3,2,5,4,2,2,4,2,5,,,,,2,4,2,2,2,,,,,Daily,Daily,Weekly,Weekly,Weekly,Less than once a year,5,3,2,3,0,4,0,4,4,4,3
M,Italy,Junior,EX,> 500 ,,5,5,4,5,4,Y,N,N,N,N,N,N,N,N,N,N,5,1,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,funder,,Y,Y,N,N,,4,4,4,5,5,5,5,5,1,1,5,1,1,2,5,5,5,,,,,2,4,4,4,2,,,,,Weekly,Daily,Daily,Less than once a year,Daily,Twice a year,5,4,4,0,0,4,4,5,5,4,4
M,France,Junior,EX,> 500 ,,5,4,4,3,3,Y,N,N,N,N,N,N,N,N,N,N,4,4,4,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,community,,Y,Y,N,N,,4,4,2,4,5,4,2,2,3,4,5,2,2,2,4,4,2,,,,,4,4,4,4,4,,,,,Daily,Daily,Daily,Weekly,Daily,Once every 3 months,5,5,2,4,5,5,4,4,5,5,4
F,Italy,Junior,EX,> 500 ,,4,4,4,5,3,Y,N,N,N,N,N,N,N,N,N,N,4,4,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,"I think that releasing data should be At the same time as the publication of the paper, but I don't agree on sharing the code",collab,,Y,Y,N,N,,4,4,2,3,4,4,4,4,4,4,4,2,3,1,4,1,3,,,,,3,1,2,2,1,,,,,Weekly,Weekly,Weekly,Monthly,Daily,Less than once a year,5,4,5,3,0,4,0,4,4,4,4
F,Spain,Senior,EX,101 - 500 ,,5,5,4,4,4,Y,N,N,N,N,N,N,N,N,N,N,5,5,4,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,collab,,N,Y,N,N,,4,3,4,3,3,4,3,5,4,3,4,3,3,2,4,2,4,,,,,5,3,4,4,2,,,,,Less than once a year,Less than once a year,Monthly,Once every 3 months,Once every 3 months,Less than once a year,0,0,4,4,0,4,0,4,4,4,3
M,Greece,Senior,EX,> 500 ,,5,5,5,5,5,Y,N,N,N,N,N,N,N,N,N,N,4,3,4,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,community,,N,Y,N,N,,5,5,5,5,4,4,4,3,3,1,5,1,2,2,4,1,5,,,,,4,4,4,4,4,,,,,Monthly,Monthly,Daily,Weekly,Daily,Less than once a year,5,5,4,5,0,5,0,5,4,4,3
M,France,Junior,EX,> 500 ,,5,5,5,4,3,Y,Y,Y,N,N,N,N,N,N,N,N,4,4,5,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,Y,N,N,N,N,,collab,,Y,Y,N,N,,3,5,4,4,5,5,4,5,5,4,5,2,2,4,4,4,3,,,,,5,4,5,5,4,,,,,Weekly,Weekly,Daily,Weekly,Daily,Weekly,5,5,4,5,0,5,5,5,4,5,4
F,United States of America,Junior,EX,> 500 ,,4,4,2,5,3,N,N,N,N,Y,N,N,N,N,N,N,2,2,3,4,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,N,N,Y,"I'd share data, Nt the code. Sharing after publication.",community,,N,N,Y,N,,4,4,4,3,4,4,4,5,3,2,4,1,1,1,5,1,1,,,,,4,1,1,1,1,,,,,Daily,Daily,Weekly,Daily,Daily,Daily,5,5,5,5,0,5,5,2,5,5,3
M,Australia,Junior,EX,> 500 ,,5,5,5,4,3,Y,N,Y,Y,N,N,N,N,N,N,N,5,4,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,Y,N,N,N,,community,,Y,Y,N,N,,4,5,2,5,4,4,4,2,3,2,5,2,2,2,4,3,4,,,,,5,3,3,4,4,,,,,Daily,Daily,Daily,Once every 3 months,Daily,Less than once a year,5,4,4,3,0,4,0,4,5,4,5
M,Italy,Senior,EX,> 500 ,,5,5,4,5,3,N,Y,N,N,N,N,N,N,N,N,N,5,5,5,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,Y,N,N,N,,funder,,N,Y,N,N,,4,4,4,4,4,4,4,4,5,5,5,2,3,5,3,4,5,,,,,5,5,5,5,5,,,,,Monthly,Once every 3 months,Weekly,Monthly,Weekly,Less than once a year,5,3,5,4,0,5,0,4,4,4,5
M,Czech Republic,Senior,EX,101 - 500 ,,5,5,4,3,3,Y,N,N,N,N,N,N,N,N,N,N,5,5,5,5,,,,,NA,N,N,N,N,N,N,N,N,,N,Y,Y,N,N,N,N,,individual,,Y,Y,N,N,,1,3,1,1,1,1,1,1,1,5,2,2,5,5,4,2,2,,,,,4,4,5,5,4,,,,,Daily,Daily,Daily,Monthly,Monthly,Once every 3 months,5,3,5,4,0,2,0,5,5,5,5
M,Republic of Korea,Junior,EX,> 500 ,,5,5,5,5,4,Y,Y,Y,N,N,N,N,N,N,N,N,4,4,5,2,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,collab,,Y,Y,N,N,,5,5,5,4,5,4,3,5,4,3,4,1,4,3,4,2,4,,,,,4,4,3,4,4,,,,,Daily,Monthly,Daily,Daily,Daily,Monthly,5,3,4,5,0,5,5,4,5,5,5
M,United States of America,Senior,EX,> 500 ,,5,5,5,5,3,N,N,N,N,Y,N,N,N,N,N,N,3,5,3,5,,,,,NA,N,N,N,N,N,N,N,N,,N,N,N,N,Y,N,N,,community,,Y,Y,N,N,,3,2,3,4,5,5,4,4,3,2,5,2,2,3,3,2,3,,,,,3,3,3,3,3,,,,,Once every 3 months,Once every 3 months,Monthly,Weekly,Daily,Less than once a year,5,3,3,5,0,5,0,4,4,5,4
