"id","Completed","Last page seen","Start language","Token","Date last action","Date started","Referrer URL","D1","D2","D3","D4","D4_1","D4_2","p2q1 [OS1]","p2q1 [OS2]","p2q1 [OS3]","p2q2 [OA1]","p2q2 [OA2]","p3q1E [OD1]","p3q1E [OD2]","p3q1E [OD3]","p3q1E [OD4]","p3q1E [OD5]","p3q1T [OD1]","p3q1T [OD2]","p3q1T [OD3]","p3q1T [OD6]","p3q1T [OD4]","p3q1T [OD5]","p3q2E [OD_E1]","p3q2E [OD_E2]","p3q2E [OD_E3]","p3q2E [OD_E4]","p3q2T [OD_E1]","p3q2T [OD_E2]","p3q2T [OD_E3]","p3q2T [OD_E5]","p3q2T [OD_E4]","p4q1T [1]","p4q1T [2]","p4q1T [3]","p4q1T [4]","p4q1T [5]","p4q1T [6]","p4q1T [7]","p4q1T [8]","p4q1T_O","p4q1E [1]","p4q1E [2]","p4q1E [3]","p4q1E [4]","p4q1E [5]","p4q1E [6]","p4q1E [7]","p4q1E_O","p4q2","p4q2_O","p5q1 [SQ002]","p5q1 [SQ001]","p5q1 [SQ004]","p5q1 [SQ005]","p5q1_N","p5q2 [1]","p5q2 [2]","p5q2 [3]","p5q2 [4]","p5q2 [5]","p5q2 [6]","p5q2 [7]","p5q2 [8]","p5q2 [9]","p6q1 [1]","p6q1 [2]","p6q1 [3]","p6q1 [4]","p6q2E [1]","p6q2E [2]","p6q2E [3]","p6q2E [4]","p6q2T [1]","p6q2T [2]","p6q2T [3]","p6q2T [4]","p7q1E [1]","p7q1E [2]","p7q1E [3]","p7q1E [4]","p7q1E [5]","p7q1T [1]","p7q1T [2]","p7q1T [3]","p7q2","p8q1 [1]","p8q1 [2]","p8q1 [3]","p8q1 [4]","p8q1 [5]","p8q1 [6]","p8q2 [1]","p8q2 [2]","p8q2 [3]","p8q2 [4]","p8q2 [5]","p8q2 [6]","p8q2 [7]","p8q3 [1]","p8q3 [2]","p8q3 [3]","p8q3 [4]","interviewtime","groupTime564","D1Time","D2Time","D3Time","D4Time","D4_1Time","D4_2Time","groupTime565","p2q1Time","p2q2Time","groupTime612","p3q1ETime","p3q1TTime","p3q2ETime","p3q2TTime","groupTime566","p4q1TTime","p4q1T_OTime","p4q1ETime","p4q1E_OTime","p4q2Time","p4q2_OTime","groupTime570","p5q1Time","p5q1_NTime","p5q2Time","groupTime568","p6q1Time","p6q2ETime","p6q2TTime","groupTime611","p7q1ETime","p7q1TTime","p7q2Time","groupTime571","p8q1Time","p8q2Time","p8q3Time"
"84","2018-04-23 11:13:49","8","en","","2018-04-23 11:13:49","2018-04-23 11:04:22","","Male","United States of America","less than 5 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","","","","","No","No","No","No","No","No","No","No","","No","Yes","Yes","Yes","Yes","No","No","","Each individual researcher should decide for their work autonomously.","","Yes","Yes","No","No","","Not at all affect","Neutral","Affect a lot","Somewhat affect","Affect a lot","Somewhat affect","Affect a lot","Affect a lot","Affect a lot","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Neutral","Somewhat agree","","","","","Somewhat unhelpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","","","","passing down scripted workflows creates a real blackbox lack of understanding. click & collect should not be encouraged.","Weekly","Weekly","Weekly","Weekly","Weekly","Less than once a year","Moderately dissatisfied","Moderately dissatisfied","Very dissatisfied","Moderately satisfied","Moderately dissatisfied","Very dissatisfied","Very dissatisfied","Somewhat affect","Affect a lot","Affect a lot","Somewhat affect","571.2700000000001","32.87","0","0","0","0","0","0","66.22","0","0","51.47","0","0","0","0","52.18","0","0","0","0","0","0","67.6","0","0","0","89.99","0","0","0","73.88","0","0","0","137.06","0","0","0"
"87","2018-04-23 11:16:13","8","en","","2018-04-23 11:16:13","2018-04-23 11:05:12","","Male","Spain","11 - 15 years","Experiment","> 500 members","","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes","No","No","No","No","No","No","No","No","No","No","Neutral","Somewhat agree","Neutral","Somewhat agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","Yes","No","No","No","","The HEP community as a whole should decide and set practices.","","Yes","Yes","No","No","","Neutral","Neutral","Neutral","Neutral","Neutral","Neutral","Somewhat affect","Somewhat affect","Rarely affect","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","","","","","Somewhat unhelpful","Neutral","Somewhat helpful","Somewhat helpful","Neutral","","","","","Weekly","Daily","Weekly","Weekly","Daily","Monthly","Very dissatisfied","Very dissatisfied","Moderately dissatisfied","Very dissatisfied","No experience","Very dissatisfied","Moderately dissatisfied","Somewhat affect","Affect a lot","Affect a lot","Somewhat affect","663.82","39.76","0","0","0","0","0","0","120.99","0","0","94.58","0","0","0","0","56.32","0","0","0","0","0","0","85.42","0","0","0","100.82","0","0","0","72.23","0","0","0","93.7","0","0","0"
"89","2018-04-23 11:15:05","8","en","","2018-04-23 11:15:05","2018-04-23 11:05:33","","Male","United States of America","5 - 10 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neutral","Yes","No","No","No","No","No","No","No","No","No","No","Somewhat agree","Somewhat agree","Neutral","Somewhat disagree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","Yes","Yes","No","No","","Each collaboration or team should decide for their work.","","No","No","Yes","No","","Affect a lot","Affect a lot","Rarely affect","Somewhat affect","Somewhat affect","Somewhat affect","Affect a lot","Somewhat affect","Somewhat affect","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Neutral","Somewhat agree","Neutral","Somewhat agree","","","","","Somewhat helpful","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","","","","","Daily","Monthly","Weekly","Daily","Weekly","Once every 3 months","Very satisfied","Neither satisfied nor dissatisfied","Moderately dissatisfied","Very satisfied","No experience","Moderately satisfied","Moderately satisfied","Somewhat affect","Affect a lot","Affect a lot","Affect a lot","575.08","26.55","0","0","0","0","0","0","50.48","0","0","43.9","0","0","0","0","52.04","0","0","0","0","0","0","90.72","0","0","0","229.11","0","0","0","18.62","0","0","0","63.66","0","0","0"
"90","2018-04-23 11:17:24","8","en","","2018-04-23 11:17:24","2018-04-23 11:05:38","","Male","Russian Federation","5 - 10 years","Experiment","> 500 members","","Neutral","Somewhat agree","Neutral","Somewhat disagree","Neutral","No","Yes","No","No","No","No","No","No","No","No","No","Somewhat disagree","Neutral","Somewhat agree","Somewhat agree","","","","","","No","No","No","No","No","No","No","No","","No","Yes","No","No","No","No","No","","Each collaboration or team should decide for their work.","","Yes","Yes","No","No","","Affect a lot","Neutral","Rarely affect","Somewhat affect","Somewhat affect","Somewhat affect","Affect a lot","Rarely affect","Neutral","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly agree","","","","","Somewhat unhelpful","Somewhat helpful","Somewhat unhelpful","Somewhat unhelpful","Somewhat unhelpful","","","","","Daily","Daily","Weekly","Weekly","Weekly","Less than once a year","Very satisfied","Neither satisfied nor dissatisfied","Moderately dissatisfied","Neither satisfied nor dissatisfied","No experience","Moderately satisfied","No experience","Somewhat affect","Somewhat affect","Somewhat affect","Neutral","708.96","28.66","0","0","0","0","0","0","115.28","0","0","87.94","0","0","0","0","84.19","0","0","0","0","0","0","75.49","0","0","0","141.26","0","0","0","78.19","0","0","0","97.95","0","0","0"
"91","2018-04-23 11:14:05","8","en","","2018-04-23 11:14:05","2018-04-23 11:05:46","","Male","Italy","less than 5 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Yes","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly disagree","Somewhat agree","Somewhat agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","Yes","No","No","No","","The funding bodies or institutions should decide and develop policies for researchers to follow.","","Yes","Yes","No","No","","Somewhat affect","Somewhat affect","Somewhat affect","Affect a lot","Affect a lot","Affect a lot","Affect a lot","Affect a lot","Not at all affect","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly agree","Strongly agree","Strongly agree","","","","","Somewhat unhelpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat unhelpful","","","","","Weekly","Daily","Daily","Less than once a year","Daily","Twice a year","Very satisfied","Moderately satisfied","Moderately satisfied","No experience","No experience","Moderately satisfied","Moderately satisfied","Affect a lot","Affect a lot","Somewhat affect","Somewhat affect","502.74999999999994","21.59","0","0","0","0","0","0","75.08","0","0","70.21","0","0","0","0","81.39","0","0","0","0","0","0","59.49","0","0","0","79.52","0","0","0","27.46","0","0","0","88.01","0","0","0"
"93","2018-04-23 11:11:47","8","en","","2018-04-23 11:11:47","2018-04-23 11:06:15","","Male","France","less than 5 years","Experiment","> 500 members","","Strongly agree","Somewhat agree","Somewhat agree","Neutral","Neutral","Yes","No","No","No","No","No","No","No","No","No","No","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","","","","","","No","No","No","No","No","No","No","No","","No","No","Yes","No","No","No","No","","The HEP community as a whole should decide and set practices.","","Yes","Yes","No","No","","Somewhat affect","Somewhat affect","Rarely affect","Somewhat affect","Affect a lot","Somewhat affect","Rarely affect","Rarely affect","Neutral","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat disagree","","","","","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","","","","","Daily","Daily","Daily","Weekly","Daily","Once every 3 months","Very satisfied","Very satisfied","Moderately dissatisfied","Moderately satisfied","Very satisfied","Very satisfied","Moderately satisfied","Somewhat affect","Affect a lot","Affect a lot","Somewhat affect","334.07","21.6","0","0","0","0","0","0","26.16","0","0","47.82","0","0","0","0","36.8","0","0","0","0","0","0","61.97","0","0","0","54.77","0","0","0","19.2","0","0","0","65.75","0","0","0"
"94","2018-04-23 11:13:17","8","en","","2018-04-23 11:13:17","2018-04-23 11:06:36","","Female","Italy","5 - 10 years","Experiment","> 500 members","","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Neutral","Yes","No","No","No","No","No","No","No","No","No","No","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","Yes","I think that releasing data should be At the same time as the publication of the paper, but I don't agree on sharing the code","Each collaboration or team should decide for their work.","","Yes","Yes","No","No","","Somewhat affect","Somewhat affect","Rarely affect","Neutral","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat agree","Somewhat agree","Somewhat disagree","Neutral","Strongly disagree","Somewhat agree","Strongly disagree","Neutral","","","","","Neutral","Very unhelpful","Somewhat unhelpful","Somewhat unhelpful","Very unhelpful","","","","","Weekly","Weekly","Weekly","Monthly","Daily","Less than once a year","Very satisfied","Moderately satisfied","Very satisfied","Neither satisfied nor dissatisfied","No experience","Moderately satisfied","No experience","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","404.41999999999996","25.42","0","0","0","0","0","0","58.14","0","0","35.61","0","0","0","0","55.49","0","0","0","0","0","0","51.56","0","0","0","57.85","0","0","0","25.5","0","0","0","94.85","0","0","0"
"98","2018-04-23 11:13:45","8","en","","2018-04-23 11:13:45","2018-04-23 11:07:27","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Female","Spain","more than 20 years","Experiment","101 - 500 members","","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Yes","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","Yes","No","No","No","","Each collaboration or team should decide for their work.","","No","Yes","No","No","","Somewhat affect","Neutral","Somewhat affect","Neutral","Neutral","Somewhat affect","Neutral","Affect a lot","Somewhat affect","Neutral","Somewhat agree","Neutral","Neutral","Somewhat disagree","Somewhat agree","Somewhat disagree","Somewhat agree","","","","","Very helpful","Neutral","Somewhat helpful","Somewhat helpful","Somewhat unhelpful","","","","","Less than once a year","Less than once a year","Monthly","Once every 3 months","Once every 3 months","Less than once a year","No experience","No experience","Moderately satisfied","Moderately satisfied","No experience","Moderately satisfied","No experience","Somewhat affect","Somewhat affect","Somewhat affect","Neutral","380.19","30.08","0","0","0","0","0","0","34.18","0","0","52.26","0","0","0","0","27.49","0","0","0","0","0","0","63.94","0","0","0","64.34","0","0","0","22.67","0","0","0","85.23","0","0","0"
"100","2018-04-23 11:38:21","8","en","","2018-04-23 11:38:21","2018-04-23 11:09:10","","Male","Greece","more than 20 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Yes","No","No","No","No","No","No","No","No","No","No","Somewhat agree","Neutral","Somewhat agree","Strongly agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","","The HEP community as a whole should decide and set practices.","","No","Yes","No","No","","Affect a lot","Affect a lot","Affect a lot","Affect a lot","Somewhat affect","Somewhat affect","Somewhat affect","Neutral","Neutral","Strongly disagree","Strongly agree","Strongly disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly agree","","","","","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","Somewhat helpful","","","","","Monthly","Monthly","Daily","Weekly","Daily","Less than once a year","Very satisfied","Very satisfied","Moderately satisfied","Very satisfied","No experience","Very satisfied","No experience","Affect a lot","Somewhat affect","Somewhat affect","Neutral","1755.2","50.2","0","0","0","0","0","0","680.14","0","0","162.6","0","0","0","0","76.58","0","0","0","0","0","0","164.66","0","0","0","267.72","0","0","0","108.89","0","0","0","244.41000000000003","0","0","0"
"101","2018-04-23 11:18:12","8","en","","2018-04-23 11:18:12","2018-04-23 11:09:48","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","France","less than 5 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neutral","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","","","","","","No","No","No","No","No","No","No","No","","No","No","Yes","No","No","No","No","","Each collaboration or team should decide for their work.","","Yes","Yes","No","No","","Neutral","Affect a lot","Somewhat affect","Somewhat affect","Affect a lot","Affect a lot","Somewhat affect","Affect a lot","Affect a lot","Somewhat agree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neutral","","","","","Very helpful","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","","","","","Weekly","Weekly","Daily","Weekly","Daily","Weekly","Very satisfied","Very satisfied","Moderately satisfied","Very satisfied","No experience","Very satisfied","Very satisfied","Affect a lot","Somewhat affect","Affect a lot","Somewhat affect","505.79","29.46","0","0","0","0","0","0","69.37","0","0","75.31","0","0","0","0","48.93","0","0","0","0","0","0","94.45","0","0","0","65.89","0","0","0","31.31","0","0","0","91.07","0","0","0"
"102","2018-04-23 11:26:03","8","en","","2018-04-23 11:26:03","2018-04-23 11:09:50","","Female","United States of America","11 - 15 years","Experiment","> 500 members","","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Neutral","No","No","No","No","Yes","No","No","No","No","No","No","Somewhat disagree","Somewhat disagree","Neutral","Somewhat agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","Yes","I'd share data, not the code. Sharing after publication.","The HEP community as a whole should decide and set practices.","","No","No","Yes","No","","Somewhat affect","Somewhat affect","Somewhat affect","Neutral","Somewhat affect","Somewhat affect","Somewhat affect","Affect a lot","Neutral","Somewhat disagree","Somewhat agree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","","","","","Somewhat helpful","Very unhelpful","Very unhelpful","Very unhelpful","Very unhelpful","","","","","Daily","Daily","Weekly","Daily","Daily","Daily","Very satisfied","Very satisfied","Very satisfied","Very satisfied","No experience","Very satisfied","Very satisfied","Rarely affect","Affect a lot","Affect a lot","Neutral","974.5699999999999","321.94","0","0","0","0","0","0","119.14","0","0","76.04","0","0","0","0","129.87","0","0","0","0","0","0","70.55","0","0","0","110.9","0","0","0","37.83","0","0","0","108.3","0","0","0"
"105","2018-04-23 11:17:48","8","en","","2018-04-23 11:17:48","2018-04-23 11:10:28","","Male","Australia","5 - 10 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neutral","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","","","","","","No","No","No","No","No","No","No","No","","No","Yes","Yes","Yes","No","No","No","","The HEP community as a whole should decide and set practices.","","Yes","Yes","No","No","","Somewhat affect","Affect a lot","Rarely affect","Affect a lot","Somewhat affect","Somewhat affect","Somewhat affect","Rarely affect","Neutral","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat agree","Neutral","Somewhat agree","","","","","Very helpful","Neutral","Neutral","Somewhat helpful","Somewhat helpful","","","","","Daily","Daily","Daily","Once every 3 months","Daily","Less than once a year","Very satisfied","Moderately satisfied","Moderately satisfied","Neither satisfied nor dissatisfied","No experience","Moderately satisfied","No experience","Somewhat affect","Affect a lot","Somewhat affect","Affect a lot","441.98","28.98","0","0","0","0","0","0","40.53","0","0","78.57","0","0","0","0","41.4","0","0","0","0","0","0","62.49","0","0","0","75.83","0","0","0","32.13","0","0","0","82.05","0","0","0"
"106","2018-04-23 11:20:19","8","en","","2018-04-23 11:20:19","2018-04-23 11:10:28","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","Italy","16 - 20 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Neutral","No","Yes","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","Yes","No","No","No","","The funding bodies or institutions should decide and develop policies for researchers to follow.","","No","Yes","No","No","","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat affect","Affect a lot","Strongly agree","Strongly agree","Somewhat disagree","Neutral","Strongly agree","Neutral","Somewhat agree","Strongly agree","","","","","Very helpful","Very helpful","Very helpful","Very helpful","Very helpful","","","","","Monthly","Once every 3 months","Weekly","Monthly","Weekly","Less than once a year","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Moderately satisfied","No experience","Very satisfied","No experience","Somewhat affect","Somewhat affect","Somewhat affect","Affect a lot","593.3199999999999","41.18","0","0","0","0","0","0","50.53","0","0","64.91","0","0","0","0","59.37","0","0","0","0","0","0","115.72","0","0","0","113.58","0","0","0","26.96","0","0","0","121.07","0","0","0"
"107","2018-04-23 11:24:17","8","en","","2018-04-23 11:24:17","2018-04-23 11:10:46","","Male","Czech Republic","more than 20 years","Experiment","101 - 500 members","","Strongly agree","Strongly agree","Somewhat agree","Neutral","Neutral","Yes","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","","","","","No","No","No","No","No","No","No","No","","No","Yes","Yes","No","No","No","No","","Each individual researcher should decide for their work autonomously.","","Yes","Yes","No","No","","Not at all affect","Neutral","Not at all affect","Not at all affect","Not at all affect","Not at all affect","Not at all affect","Not at all affect","Not at all affect","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat disagree","","","","","Somewhat helpful","Somewhat helpful","Very helpful","Very helpful","Somewhat helpful","","","","","Daily","Daily","Daily","Monthly","Monthly","Once every 3 months","Very satisfied","Neither satisfied nor dissatisfied","Very satisfied","Moderately satisfied","No experience","Moderately dissatisfied","No experience","Affect a lot","Affect a lot","Affect a lot","Affect a lot","813.3","46.45","0","0","0","0","0","0","114.5","0","0","82.35","0","0","0","0","57.89","0","0","0","0","0","0","142.21","0","0","0","118.65","0","0","0","50.57","0","0","0","200.68","0","0","0"
"108","2018-04-23 11:18:07","8","en","","2018-04-23 11:18:07","2018-04-23 11:10:52","","Male","the United Kingdom of Great Britain and Northern Ireland","5 - 10 years","Theory","","","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","No","No","No","No","No","No","No","No","No","No","Yes","","","","","Neutral","Somewhat disagree","Neutral","Neutral","Neutral","No","No","No","Yes","No","Yes","No","No","","No","No","No","No","No","No","No","","Each collaboration or team should decide for their work.","","Yes","Yes","No","No","","Affect a lot","Affect a lot","Somewhat affect","Somewhat affect","Somewhat affect","Affect a lot","Somewhat affect","Somewhat affect","Not at all affect","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","","","","","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat disagree","","","","","","Somewhat unhelpful","Somewhat unhelpful","Somewhat unhelpful","","Monthly","Less than once a year","Once a year","Once every 3 months","Weekly","Less than once a year","Neither satisfied nor dissatisfied","No experience","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","No experience","Very satisfied","No experience","Somewhat affect","Somewhat affect","Somewhat affect","Rarely affect","426.97","33.83","0","0","0","0","0","0","49.44","0","0","74.8","0","0","0","0","45.21","0","0","0","0","0","0","64.64","0","0","0","60.48","0","0","0","19.69","0","0","0","78.88","0","0","0"
"109","2018-04-23 11:19:44","8","en","","2018-04-23 11:19:44","2018-04-23 11:11:20","","Male","Italy","16 - 20 years","Theory","","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","No","No","No","No","No","No","No","No","No","No","Yes","","","","","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","No","No","No","No","Yes","No","No","No","","No","No","No","No","No","No","No","","The HEP community as a whole should decide and set practices.","","No","Yes","No","No","","Somewhat affect","Rarely affect","Somewhat affect","Affect a lot","Affect a lot","Affect a lot","Somewhat affect","Somewhat affect","Somewhat affect","Neutral","Strongly agree","Somewhat agree","Strongly disagree","","","","","Neutral","Somewhat agree","Somewhat disagree","Strongly disagree","","","","","","Somewhat helpful","Somewhat helpful","Somewhat helpful","","Once a year","Once a year","Once a year","Once every 3 months","Monthly","Less than once a year","Moderately satisfied","No experience","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","No experience","Very satisfied","No experience","Neutral","Somewhat affect","Affect a lot","Somewhat affect","505.86","29.31","0","0","0","0","0","0","54.33","0","0","54.28","0","0","0","0","53.56","0","0","0","0","0","0","80.08","0","0","0","95.54","0","0","0","28.8","0","0","0","109.96","0","0","0"
"110","2018-04-23 11:19:22","8","en","","2018-04-23 11:19:22","2018-04-23 11:11:26","","Male","Republic of Korea","11 - 15 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","","Each collaboration or team should decide for their work.","","Yes","Yes","No","No","","Affect a lot","Affect a lot","Affect a lot","Somewhat affect","Affect a lot","Somewhat affect","Neutral","Affect a lot","Somewhat affect","Neutral","Somewhat agree","Strongly disagree","Somewhat agree","Neutral","Somewhat agree","Somewhat disagree","Somewhat agree","","","","","Somewhat helpful","Somewhat helpful","Neutral","Somewhat helpful","Somewhat helpful","","","","","Daily","Monthly","Daily","Daily","Daily","Monthly","Very satisfied","Neither satisfied nor dissatisfied","Moderately satisfied","Very satisfied","No experience","Very satisfied","Very satisfied","Somewhat affect","Affect a lot","Affect a lot","Affect a lot","478.1","66.01","0","0","0","0","0","0","33.04","0","0","59.18","0","0","0","0","45.06","0","0","0","0","0","0","70.27","0","0","0","87.66","0","0","0","28.41","0","0","0","88.47","0","0","0"
"114","2018-04-23 11:20:28","8","en","","2018-04-23 11:20:28","2018-04-23 11:15:13","","Male","United States of America","more than 20 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Neutral","No","No","No","No","Yes","No","No","No","No","No","No","Neutral","Strongly agree","Neutral","Strongly agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","Yes","No","No","","The HEP community as a whole should decide and set practices.","","Yes","Yes","No","No","","Neutral","Rarely affect","Neutral","Somewhat affect","Affect a lot","Affect a lot","Somewhat affect","Somewhat affect","Neutral","Somewhat disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Neutral","Neutral","Somewhat disagree","Neutral","","","","","Neutral","Neutral","Neutral","Neutral","Neutral","","","","","Once every 3 months","Once every 3 months","Monthly","Weekly","Daily","Less than once a year","Very satisfied","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Very satisfied","No experience","Very satisfied","No experience","Somewhat affect","Somewhat affect","Affect a lot","Somewhat affect","316.96000000000004","28.2","0","0","0","0","0","0","27.11","0","0","35.38","0","0","0","0","39.08","0","0","0","0","0","0","50.22","0","0","0","54.02","0","0","0","17.67","0","0","0","65.28","0","0","0"
"115","2018-04-23 11:24:39","8","en","","2018-04-23 11:24:39","2018-04-23 11:15:17","","Male","Russian Federation","more than 20 years","Experiment","101 - 500 members","","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Neutral","Yes","No","No","No","No","No","No","No","No","No","No","Somewhat agree","Neutral","Somewhat agree","Somewhat disagree","","","","","","No","No","No","No","No","No","No","No","","No","No","Yes","No","No","No","No","","Each collaboration or team should decide for their work.","","No","Yes","No","No","","Somewhat affect","Somewhat affect","Somewhat affect","Affect a lot","Somewhat affect","Affect a lot","Somewhat affect","Somewhat affect","Somewhat affect","Somewhat agree","Strongly agree","Neutral","Neutral","Somewhat agree","Neutral","Neutral","Somewhat agree","","","","","Somewhat helpful","Very helpful","Somewhat helpful","Somewhat helpful","Very helpful","","","","","Weekly","Less than once a year","Weekly","Once a year","Monthly","Once a year","Neither satisfied nor dissatisfied","Neither satisfied nor dissatisfied","Moderately satisfied","No experience","No experience","Neither satisfied nor dissatisfied","No experience","Somewhat affect","Affect a lot","Affect a lot","Somewhat affect","565.91","43.66","0","0","0","0","0","0","86.41","0","0","74.28","0","0","0","0","45.38","0","0","0","0","0","0","84.65","0","0","0","86.09","0","0","0","34.53","0","0","0","110.91","0","0","0"
"117","2018-04-23 11:22:58","8","en","","2018-04-23 11:22:58","2018-04-23 11:15:40","","Male","Greece","less than 5 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Yes","No","Yes","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","","","","","","No","No","No","No","No","No","No","No","","No","Yes","No","No","No","No","No","","Each individual researcher should decide for their work autonomously.","","Yes","Yes","No","No","","Somewhat affect","Not at all affect","Not at all affect","Somewhat affect","Somewhat affect","Somewhat affect","Affect a lot","Rarely affect","Rarely affect","Neutral","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","","","","","Very helpful","Very helpful","Somewhat helpful","Very helpful","Somewhat helpful","","","","","Weekly","Less than once a year","Weekly","Monthly","Daily","Less than once a year","Very satisfied","No experience","Moderately satisfied","Moderately satisfied","No experience","Moderately satisfied","No experience","Somewhat affect","Affect a lot","Affect a lot","Somewhat affect","440.40000000000003","30.81","0","0","0","0","0","0","68.29","0","0","45.05","0","0","0","0","42.23","0","0","0","0","0","0","53.93","0","0","0","72.74","0","0","0","22.41","0","0","0","104.94","0","0","0"
