"id","Completed","Last page seen","Start language","Token","Date last action","Date started","Referrer URL","D1","D2","D3","D4","D4_1","D4_2","p2q1 [OS1]","p2q1 [OS2]","p2q1 [OS3]","p2q2 [OA1]","p2q2 [OA2]","p3q1E [OD1]","p3q1E [OD2]","p3q1E [OD3]","p3q1E [OD4]","p3q1E [OD5]","p3q1T [OD1]","p3q1T [OD2]","p3q1T [OD3]","p3q1T [OD6]","p3q1T [OD4]","p3q1T [OD5]","p3q2E [OD_E1]","p3q2E [OD_E2]","p3q2E [OD_E3]","p3q2E [OD_E4]","p3q2T [OD_E1]","p3q2T [OD_E2]","p3q2T [OD_E3]","p3q2T [OD_E5]","p3q2T [OD_E4]","p4q1T [1]","p4q1T [2]","p4q1T [3]","p4q1T [4]","p4q1T [5]","p4q1T [6]","p4q1T [7]","p4q1T [8]","p4q1T_O","p4q1E [1]","p4q1E [2]","p4q1E [3]","p4q1E [4]","p4q1E [5]","p4q1E [6]","p4q1E [7]","p4q1E_O","p4q2","p4q2_O","p5q1 [SQ002]","p5q1 [SQ001]","p5q1 [SQ004]","p5q1 [SQ005]","p5q1_N","p5q2 [1]","p5q2 [2]","p5q2 [3]","p5q2 [4]","p5q2 [5]","p5q2 [6]","p5q2 [7]","p5q2 [8]","p5q2 [9]","p6q1 [1]","p6q1 [2]","p6q1 [3]","p6q1 [4]","p6q2E [1]","p6q2E [2]","p6q2E [3]","p6q2E [4]","p6q2T [1]","p6q2T [2]","p6q2T [3]","p6q2T [4]","p7q1E [1]","p7q1E [2]","p7q1E [3]","p7q1E [4]","p7q1E [5]","p7q1T [1]","p7q1T [2]","p7q1T [3]","p7q2","p8q1 [1]","p8q1 [2]","p8q1 [3]","p8q1 [4]","p8q1 [5]","p8q1 [6]","p8q2 [1]","p8q2 [2]","p8q2 [3]","p8q2 [4]","p8q2 [5]","p8q2 [6]","p8q2 [7]","p8q3 [1]","p8q3 [2]","p8q3 [3]","p8q3 [4]","interviewtime","groupTime564","D1Time","D2Time","D3Time","D4Time","D4_1Time","D4_2Time","groupTime565","p2q1Time","p2q2Time","groupTime612","p3q1ETime","p3q1TTime","p3q2ETime","p3q2TTime","groupTime566","p4q1TTime","p4q1T_OTime","p4q1ETime","p4q1E_OTime","p4q2Time","p4q2_OTime","groupTime570","p5q1Time","p5q1_NTime","p5q2Time","groupTime568","p6q1Time","p6q2ETime","p6q2TTime","groupTime611","p7q1ETime","p7q1TTime","p7q2Time","groupTime571","p8q1Time","p8q2Time","p8q3Time"
"24","","3","en","","2018-04-19 20:48:04","2018-04-19 20:33:16","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","United States of America","5 - 10 years","Experiment","> 500 members","","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Neutral","No","No","Yes","No","No","No","No","No","No","No","No","Strongly agree","Neutral","Strongly agree","Somewhat disagree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","889.1700000000001","21.32","0","0","0","0","0","0","816.95","0","0","50.9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"26","","2","en","","2018-04-19 21:19:24","2018-04-19 21:18:12","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","the United Kingdom of Great Britain and Northern Ireland","less than 5 years","Theory","","","Strongly agree","Strongly agree","Strongly agree","Somewhat disagree","Somewhat disagree","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.66","28.52","0","0","0","0","0","0","44.14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"29","","1","en","","2018-04-20 02:22:59","2018-04-20 02:21:50","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","Chile","less than 5 years","Experiment","> 500 members","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.86","68.86","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"30","","0","en","","2018-04-20 05:03:08","2018-04-20 05:03:08","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","","","","","","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"32","","2","en","","2018-04-23 11:19:43","2018-04-20 08:17:14","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Female","Italy","less than 5 years","Experiment","> 500 members","","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","961.94","32.29","0","0","0","0","0","0","34.29","0","0","895.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"34","","0","en","","2018-04-20 10:41:36","2018-04-20 10:41:27","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","","","","","","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.63","8.63","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"35","","0","en","","2018-04-20 10:54:25","2018-04-20 10:54:16","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","","","","","","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.47","9.47","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"37","","0","en","","2018-04-20 13:21:35","2018-04-20 13:21:35","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","","","","","","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"38","","3","en","","2018-04-20 15:25:56","2018-04-20 15:21:48","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Female","Argentina","5 - 10 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Strongly disagree","Yes","No","No","No","No","No","No","No","No","No","No","Somewhat agree","Somewhat agree","Neutral","Strongly agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248.18","30.94","0","0","0","0","0","0","99.86","0","0","117.38","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"44","","5","en","","2018-04-23 11:02:57","2018-04-23 10:59:44","","Male","Germany","less than 5 years","Experiment","> 500 members","","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Neutral","Yes","No","No","No","No","No","No","No","No","No","No","Somewhat agree","Somewhat agree","Neutral","Somewhat agree","","","","","","No","No","No","No","No","No","No","No","","No","Yes","Yes","Yes","No","No","No","","The funding bodies or institutions should decide and develop policies for researchers to follow.","","No","Yes","No","No","","Somewhat affect","Somewhat affect","Rarely affect","Somewhat affect","Rarely affect","Rarely affect","Somewhat affect","Rarely affect","Somewhat affect","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195.23","28.1","0","0","0","0","0","0","38.24","0","0","42.04","0","0","0","0","34.93","0","0","0","0","0","0","51.92","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"47","","4","en","","2018-04-23 11:02:19","2018-04-23 11:00:10","","Male","the United Kingdom of Great Britain and Northern Ireland","less than 5 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","Yes","Yes","No","No","No","No","No","No","No","No","No","Strongly agree","Somewhat agree","Neutral","Somewhat agree","","","","","","No","No","No","No","No","No","No","No","","No","Yes","No","No","No","No","No","","The funding bodies or institutions should decide and develop policies for researchers to follow.","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129.47","24.04","0","0","0","0","0","0","22.64","0","0","50.76","0","0","0","0","32.03","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"48","","2","en","","2018-04-23 11:01:19","2018-04-23 11:00:27","","Male","the United Kingdom of Great Britain and Northern Ireland","11 - 15 years","Experiment","20 - 50 members","","Strongly agree","Strongly agree","Strongly agree","Neutral","Neutral","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.18","24.12","0","0","0","0","0","0","27.06","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"50","","4","en","","2018-04-23 11:02:25","2018-04-23 11:00:35","","Male","Switzerland","less than 5 years","Experiment","> 500 members","","Strongly agree","Neutral","Strongly agree","Strongly agree","Somewhat agree","Yes","No","No","No","No","No","No","No","No","No","No","Somewhat agree","Strongly agree","Somewhat agree","Neutral","","","","","","No","No","No","No","No","No","No","No","","No","No","No","Yes","No","No","No","","The HEP community as a whole should decide and set practices.","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.11","20.41","0","0","0","0","0","0","25.65","0","0","38.06","0","0","0","0","26.99","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","","3","en","","2018-04-23 11:02:34","2018-04-23 11:01:01","","Male","the United Kingdom of Great Britain and Northern Ireland","5 - 10 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Yes","No","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Neutral","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.71000000000001","33.49","0","0","0","0","0","0","29.12","0","0","31.1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","","1","en","","2018-04-23 11:01:52","2018-04-23 11:01:15","","Male","France","16 - 20 years","Experiment","101 - 500 members","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.77","36.77","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","","","en","","2018-04-23 11:02:09","2018-04-23 11:02:09","","","","","","","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","","-1","en","","2018-04-23 11:03:08","2018-04-23 11:02:58","","","","","","","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.75","10.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","","4","en","","2018-04-23 11:07:06","2018-04-23 11:03:05","","Male","the United Kingdom of Great Britain and Northern Ireland","less than 5 years","Experiment","> 500 members","","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Neutral","Yes","Yes","No","No","No","No","No","No","No","No","No","Strongly agree","Strongly agree","Strongly agree","Strongly agree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","Yes","No","No","No","","The funding bodies or institutions should decide and develop policies for researchers to follow.","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","244.01999999999998","36.37","0","0","0","0","0","0","62.099999999999994","0","0","68.99","0","0","0","0","76.56","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","","3","en","","2018-04-23 11:07:48","2018-04-23 11:03:18","","Prefer not to say","Canada","11 - 15 years","Other","","","Somewhat agree","Somewhat agree","Neutral","Strongly agree","Somewhat agree","Yes","No","Yes","Yes","No","No","No","No","No","No","No","Somewhat agree","Neutral","Neutral","Somewhat disagree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","270.15999999999997","31.61","0","0","0","0","0","0","122.27","0","0","116.28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","","1","en","","2018-04-23 11:03:48","2018-04-23 11:03:19","","Male","Germany","less than 5 years","Other","","IT","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28.88","28.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","","1","en","","2018-04-23 11:03:56","2018-04-23 11:03:25","","Male","Germany","less than 5 years","Experiment","> 500 members","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.93","30.93","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","","0","en","","2018-04-23 11:04:11","2018-04-23 11:04:11","","","","","","","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"85","","2","en","","2018-04-23 11:06:15","2018-04-23 11:04:29","","Female","Spain","more than 20 years","Theory","","","Strongly agree","Strongly agree","Neutral","Strongly agree","Strongly agree","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.32","72.96","0","0","0","0","0","0","33.36","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","","5","en","","2018-04-23 15:55:49","2018-04-23 11:04:30","https://survey.shef.ac.uk/limesurvey/index.php?sid=77428&lang=en","Male","Spain","less than 5 years","Experiment","> 500 members","","Strongly agree","Neutral","Strongly agree","Somewhat agree","Neutral","No","No","No","No","Yes","No","No","No","No","No","No","Somewhat agree","Somewhat agree","Strongly agree","Somewhat disagree","","","","","","No","No","No","No","No","No","No","No","","No","No","No","Yes","No","No","No","","The HEP community as a whole should decide and set practices.","","Yes","Yes","No","No","","Rarely affect","Somewhat affect","Not at all affect","Somewhat affect","Neutral","Somewhat affect","Affect a lot","Somewhat affect","Not at all affect","Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Somewhat disagree","Neutral","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17481.100000000002","31.44","0","0","0","0","0","0","94.69","0","0","88.28","0","0","0","0","146.14","0","0","0","0","0","0","118.06","0","0","0","17002.49","0","0","0","0","0","0","0","0","0","0","0"
"88","","1","en","","2018-04-23 11:05:47","2018-04-23 11:05:17","","Male","United States of America","less than 5 years","Experiment","> 500 members","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.53","30.53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","","0","en","","2018-04-23 11:05:59","2018-04-23 11:05:51","","","","","","","","","","","","","No","No","No","No","No","No","No","No","No","No","No","","","","","","","","","","No","No","No","No","No","No","No","No","","No","No","No","No","No","No","No","","","","No","No","No","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.87","7.87","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
