id,Gender,Country,Seniority,Field,Field_S,Research_done,Submitted,Accepted,Published,After_publication,Not_appropriate,Other,Rev_data,Rev_code,Rev_Twiki,Rev_slides,Rev_workflow
53,Female,Czech Republic,5 - 10 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Very helpful
54,Male,Germany,less than 5 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful,Neutral
55,Male,France,5 - 10 years,Experiment,> 500 members,No,No,No,No,Yes,No,Yes,Somewhat unhelpful,Very helpful,Somewhat unhelpful,Somewhat unhelpful,Very helpful
59,Male,Switzerland,11 - 15 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Very unhelpful,Very unhelpful,Neutral,Neutral,Very unhelpful
60,Male,Portugal,less than 5 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Very helpful,Somewhat helpful,Very helpful,Somewhat helpful,Very helpful
61,Male,France,more than 20 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Very helpful,Very helpful,Very helpful,Somewhat helpful,Very helpful
62,Male,Belgium,5 - 10 years,Experiment,> 500 members,Yes,Yes,Yes,Yes,No,No,No,Somewhat helpful,Very helpful,Neutral,Somewhat unhelpful,Very helpful
63,Male,United States of America,less than 5 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful,Very unhelpful
66,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,> 500 members,No,Yes,Yes,Yes,No,No,No,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat unhelpful
68,Male,Russian Federation,16 - 20 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Somewhat unhelpful,Somewhat unhelpful,Neutral,Neutral,Neutral
69,Male,Germany,less than 5 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Very unhelpful,Very unhelpful,Neutral,Somewhat unhelpful,Very unhelpful
71,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,> 500 members,No,No,No,No,No,Yes,Yes,Very unhelpful,Very unhelpful,Very unhelpful,Neutral,Very unhelpful
73,Male,Italy,5 - 10 years,Experiment,> 500 members,No,Yes,Yes,Yes,No,No,No,Somewhat helpful,Somewhat unhelpful,Somewhat unhelpful,Neutral,Somewhat unhelpful
77,Female,Italy,less than 5 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Very helpful,Neutral,Somewhat helpful,Very helpful,Neutral
79,Male,Italy,less than 5 years,Experiment,101 - 500 members,No,No,Yes,No,No,No,No,Very helpful,Very helpful,Very helpful,Somewhat helpful,Very helpful
80,Male,Austria,less than 5 years,Experiment,> 500 members,No,Yes,Yes,Yes,Yes,No,No,Neutral,Somewhat helpful,Very helpful,Somewhat helpful,Neutral
81,Male,Georgia,5 - 10 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Neutral,Neutral,Somewhat helpful,Somewhat helpful,Neutral
83,Male,Italy,more than 20 years,Experiment,51 - 100 members,No,No,No,Yes,No,No,No,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful
84,Male,United States of America,less than 5 years,Experiment,> 500 members,No,Yes,Yes,Yes,Yes,No,No,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
87,Male,Spain,11 - 15 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat unhelpful,Neutral,Somewhat helpful,Somewhat helpful,Neutral
89,Male,United States of America,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Somewhat helpful
90,Male,Russian Federation,5 - 10 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Somewhat unhelpful,Somewhat helpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful
91,Male,Italy,less than 5 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat unhelpful
93,Male,France,less than 5 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
94,Female,Italy,5 - 10 years,Experiment,> 500 members,No,No,No,No,No,No,Yes,Neutral,Very unhelpful,Somewhat unhelpful,Somewhat unhelpful,Very unhelpful
98,Female,Spain,more than 20 years,Experiment,101 - 500 members,No,No,No,Yes,No,No,No,Very helpful,Neutral,Somewhat helpful,Somewhat helpful,Somewhat unhelpful
100,Male,Greece,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
101,Male,France,less than 5 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Very helpful,Somewhat helpful,Very helpful,Very helpful,Somewhat helpful
102,Female,United States of America,11 - 15 years,Experiment,> 500 members,No,No,No,No,No,No,Yes,Somewhat helpful,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful
105,Male,Australia,5 - 10 years,Experiment,> 500 members,No,Yes,Yes,Yes,No,No,No,Very helpful,Neutral,Neutral,Somewhat helpful,Somewhat helpful
106,Male,Italy,16 - 20 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful
107,Male,Czech Republic,more than 20 years,Experiment,101 - 500 members,No,Yes,Yes,No,No,No,No,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Somewhat helpful
110,Male,Republic of Korea,11 - 15 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat helpful,Somewhat helpful,Neutral,Somewhat helpful,Somewhat helpful
114,Male,United States of America,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Neutral,Neutral,Neutral,Neutral,Neutral
115,Male,Russian Federation,more than 20 years,Experiment,101 - 500 members,No,No,Yes,No,No,No,No,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful
117,Male,Greece,less than 5 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Very helpful,Very helpful,Somewhat helpful,Very helpful,Somewhat helpful
118,Male,France,less than 5 years,Experiment,> 500 members,Yes,No,No,Yes,No,No,No,Neutral,Very helpful,Very helpful,Very helpful,Very helpful
121,Male,United States of America,more than 20 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Very unhelpful,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Very unhelpful
122,Male,Italy,more than 20 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Somewhat unhelpful,Very unhelpful,Somewhat helpful,Somewhat helpful,Somewhat unhelpful
123,Male,Hungary,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Neutral,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
124,Prefer not to say,Switzerland,more than 20 years,Experiment,> 500 members,No,No,No,No,No,No,Yes,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful
128,Male,India,less than 5 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Very helpful,Somewhat helpful,Very helpful,Very helpful,Somewhat helpful
130,Male,Italy,more than 20 years,Experiment,> 500 members,No,No,No,No,No,No,Yes,Neutral,Neutral,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful
132,Male,United States of America,more than 20 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Somewhat helpful,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful
135,Prefer not to say,Russian Federation,16 - 20 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,Yes,Neutral,Neutral,Neutral,Neutral,Neutral
136,Male,Italy,5 - 10 years,Experiment,> 500 members,No,Yes,No,Yes,Yes,No,No,Somewhat helpful,Neutral,Very helpful,Very helpful,Somewhat unhelpful
140,Male,Italy,less than 5 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat helpful,Somewhat helpful,Very helpful,Somewhat helpful,Neutral
141,Female,Italy,11 - 15 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Neutral,Somewhat unhelpful,Very helpful,Very helpful,Somewhat unhelpful
142,Male,France,less than 5 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Somewhat helpful,Neutral,Somewhat helpful,Very helpful,Somewhat helpful
144,Male,Slovakia,more than 20 years,Experiment,> 500 members,No,No,No,No,No,Yes,No,Very unhelpful,Very unhelpful,Somewhat unhelpful,Very unhelpful,Very unhelpful
145,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Somewhat unhelpful,Very unhelpful,Somewhat helpful,Somewhat helpful
146,Female,Spain,16 - 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat unhelpful,Neutral,Somewhat helpful,Somewhat helpful,Neutral
147,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat unhelpful,Very unhelpful,Somewhat unhelpful,Neutral,Very unhelpful
148,Female,Italy,16 - 20 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Very helpful,Neutral,Somewhat helpful,Somewhat unhelpful,Very unhelpful
149,Female,Italy,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Very unhelpful,Very unhelpful,Somewhat helpful,Somewhat helpful,Very unhelpful
152,Female,Netherlands,more than 20 years,Experiment,101 - 500 members,No,No,Yes,No,No,No,No,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
157,Male,Germany,less than 5 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Very helpful,Very helpful,Very helpful,Somewhat helpful,Neutral
159,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Very helpful,Very helpful,Very helpful,Somewhat helpful,Very helpful
161,Female,United States of America,less than 5 years,Experiment,> 500 members,Yes,Yes,No,Yes,Yes,No,No,Somewhat unhelpful,Somewhat helpful,Neutral,Somewhat unhelpful,Neutral
162,Male,China,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Neutral,Neutral,Neutral,Neutral,Neutral
164,Male,Switzerland,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat unhelpful,Somewhat unhelpful,Neutral,Somewhat unhelpful,Somewhat unhelpful
165,Prefer not to say,France,less than 5 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Very helpful,Neutral,Somewhat helpful,Somewhat helpful,Neutral
166,Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,No,No,No,No,No,Yes,No,Neutral,Somewhat unhelpful,Somewhat helpful,Somewhat unhelpful,Very unhelpful
167,Male,Spain,16 - 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Neutral,Neutral,Somewhat helpful,Somewhat helpful,Neutral
168,Male,Netherlands,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Very helpful,Somewhat helpful,Neutral,Very helpful
170,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,No,Yes,Yes,Yes,No,No,No,Very helpful,Somewhat helpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful
171,Male,Sweden,5 - 10 years,Experiment,20 - 50 members,No,No,Yes,Yes,No,No,No,Somewhat helpful,Somewhat helpful,Neutral,Somewhat unhelpful,Somewhat helpful
173,Male,Germany,5 - 10 years,Experiment,> 500 members,Yes,Yes,Yes,Yes,No,No,No,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
174,Male,Switzerland,16 - 20 years,Experiment,101 - 500 members,No,No,Yes,No,No,No,No,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful
175,Male,Italy,more than 20 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Somewhat helpful
176,Male,France,more than 20 years,Experiment,> 500 members,No,No,No,No,No,Yes,No,Very unhelpful,Very unhelpful,Somewhat unhelpful,Somewhat unhelpful,Very unhelpful
177,Male,Italy,more than 20 years,Experiment,20 - 50 members,No,No,No,No,Yes,No,No,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
178,Male,Italy,more than 20 years,Experiment,> 500 members,No,No,No,No,No,Yes,No,Neutral,Neutral,Somewhat helpful,Somewhat helpful,Somewhat unhelpful
179,Male,Switzerland,5 - 10 years,Experiment,> 500 members,No,Yes,Yes,No,No,No,No,Somewhat helpful,Somewhat helpful,Somewhat helpful,Very helpful,Somewhat helpful
180,Male,Germany,11 - 15 years,Experiment,51 - 100 members,Yes,Yes,No,No,No,No,No,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful
182,Female,United States of America,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Neutral,Somewhat unhelpful,Somewhat helpful,Very helpful,Neutral
185,Male,Germany,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Neutral,Somewhat unhelpful
186,Male,Italy,more than 20 years,Experiment,101 - 500 members,No,No,No,Yes,Yes,No,No,Neutral,Neutral,Neutral,Somewhat helpful,Somewhat helpful
187,Male,Switzerland,11 - 15 years,Experiment,> 500 members,No,No,Yes,Yes,No,No,No,Neutral,Neutral,Neutral,Neutral,Neutral
189,Male,Switzerland,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Neutral,Very helpful,Very helpful,Neutral
190,Male,Sweden,less than 5 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Somewhat helpful,Somewhat helpful,Neutral,Somewhat helpful,Somewhat helpful
193,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,No,No,No,No,No,Yes,No,Neutral,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful
194,Male,France,11 - 15 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat unhelpful,Neutral,Somewhat helpful,Somewhat helpful,Neutral
195,Male,Slovakia,less than 5 years,Experiment,> 500 members,No,Yes,Yes,Yes,No,No,No,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Somewhat helpful
197,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Neutral
198,Male,United States of America,more than 20 years,Experiment,> 500 members,No,No,No,No,No,Yes,No,Very unhelpful,Very unhelpful,Somewhat unhelpful,Somewhat helpful,Neutral
199,Male,China,11 - 15 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
200,Male,France,5 - 10 years,Experiment,101 - 500 members,No,No,No,Yes,Yes,No,No,Somewhat unhelpful,Somewhat unhelpful,Neutral,Neutral,Somewhat unhelpful
202,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Somewhat helpful,Very helpful,Neutral,Neutral,Neutral
203,Male,Switzerland,11 - 15 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Very helpful,Neutral,Somewhat unhelpful,Somewhat helpful,Somewhat unhelpful
204,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Very unhelpful,Somewhat unhelpful,Neutral,Somewhat helpful,Somewhat unhelpful
205,Female,Norway,5 - 10 years,Experiment,> 500 members,No,Yes,Yes,No,No,No,No,Somewhat helpful,Very helpful,Very helpful,Very helpful,Somewhat helpful
208,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Somewhat helpful,Neutral,Somewhat helpful,Somewhat helpful
209,Male,Italy,more than 20 years,Experiment,101 - 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat unhelpful,Somewhat helpful
212,Male,Czech Republic,less than 5 years,Experiment,> 500 members,No,No,Yes,Yes,Yes,No,No,Very helpful,Very helpful,Very helpful,Somewhat helpful,Very helpful
213,Male,Poland,5 - 10 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat unhelpful,Neutral,Somewhat helpful,Neutral,Somewhat helpful
215,Male,Italy,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Very unhelpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Very unhelpful
216,Male,Canada,11 - 15 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Somewhat helpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful
217,Male,Brazil,more than 20 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Very helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
219,Male,United States of America,16 - 20 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Neutral,Neutral,Neutral,Neutral,Neutral
220,Male,Germany,5 - 10 years,Experiment,> 500 members,No,Yes,No,No,Yes,No,No,Somewhat unhelpful,Neutral,Somewhat helpful,Somewhat helpful,Somewhat helpful
221,Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,> 500 members,No,No,Yes,Yes,Yes,No,Yes,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Somewhat unhelpful,Somewhat helpful
222,Male,Denmark,5 - 10 years,Experiment,> 500 members,No,No,Yes,Yes,No,No,No,Very unhelpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful,Very unhelpful
223,Female,Brazil,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Neutral,Neutral,Somewhat helpful,Neutral,Somewhat unhelpful
224,Male,United States of America,more than 20 years,Experiment,> 500 members,No,No,No,No,No,Yes,No,Very unhelpful,Very unhelpful,Somewhat unhelpful,Very unhelpful,Very unhelpful
225,Male,United States of America,more than 20 years,Experiment,> 500 members,No,No,Yes,Yes,No,No,No,Neutral,Neutral,Somewhat helpful,Somewhat helpful,Somewhat helpful
226,Female,United States of America,11 - 15 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Neutral,Neutral,Neutral,Very helpful,Very unhelpful
228,Male,United States of America,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat unhelpful,Somewhat unhelpful,Somewhat helpful,Somewhat helpful,Somewhat unhelpful
229,Male,United States of America,more than 20 years,Experiment,> 500 members,No,No,No,No,No,Yes,No,Very unhelpful,Very unhelpful,Very unhelpful,Somewhat helpful,Very unhelpful
230,Male,France,16 - 20 years,Experiment,101 - 500 members,No,No,No,No,Yes,No,No,Somewhat helpful,Somewhat helpful,Somewhat unhelpful,Somewhat unhelpful,Somewhat unhelpful
232,Male,France,less than 5 years,Experiment,> 500 members,No,Yes,Yes,Yes,No,No,No,Very helpful,Very helpful,Somewhat helpful,Somewhat unhelpful,Somewhat helpful
233,Male,Czech Republic,less than 5 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Very helpful,Somewhat helpful,Somewhat helpful,Neutral,Somewhat helpful
234,Male,United States of America,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Neutral,Neutral,Neutral,Neutral,Neutral
237,Male,Spain,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat helpful,Somewhat unhelpful,Neutral,Somewhat helpful,Somewhat unhelpful
238,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Somewhat helpful,Somewhat unhelpful,Neutral,Neutral,Somewhat unhelpful
239,Male,Germany,5 - 10 years,Experiment,51 - 100 members,No,No,No,Yes,No,No,No,Somewhat helpful,Somewhat helpful,Somewhat unhelpful,Neutral,Somewhat helpful
240,Male,United States of America,less than 5 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Somewhat helpful,Neutral,Neutral,Neutral,Neutral
242,Male,Brazil,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Very unhelpful,Very unhelpful,Somewhat helpful,Somewhat helpful,Very unhelpful
243,Male,Germany,11 - 15 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Very helpful,Very helpful,Somewhat unhelpful,Somewhat unhelpful,Very unhelpful
244,Male,India,less than 5 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Very unhelpful,Very unhelpful,Somewhat unhelpful,Somewhat helpful,Very unhelpful
246,Male,United States of America,more than 20 years,Experiment,101 - 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful
248,Male,Germany,more than 20 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Very helpful,Very helpful,Neutral,Neutral,Somewhat helpful
251,Female,Spain,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Somewhat helpful,Somewhat helpful,Very helpful,Very helpful,Very helpful
252,Male,United States of America,more than 20 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Neutral,Somewhat helpful,Very helpful,Somewhat helpful,Somewhat helpful
253,Male,United States of America,11 - 15 years,Experiment,101 - 500 members,No,Yes,No,No,No,No,No,Very helpful,Somewhat helpful,Neutral,Somewhat helpful,Somewhat helpful
255,Male,United States of America,5 - 10 years,Experiment,> 500 members,No,Yes,No,Yes,No,No,No,Very helpful,Very helpful,Very unhelpful,Somewhat unhelpful,Very helpful
257,Male,United States of America,more than 20 years,Experiment,101 - 500 members,No,No,No,No,Yes,No,No,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful,Very unhelpful
258,Male,United States of America,16 - 20 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Very helpful,Very helpful,Neutral,Neutral,Very helpful
259,Male,United States of America,11 - 15 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Somewhat helpful,Very helpful,Neutral,Neutral,Very helpful
260,Prefer not to say,United States of America,5 - 10 years,Experiment,> 500 members,Yes,Yes,No,Yes,No,No,Yes,Neutral,Very helpful,Neutral,Neutral,Neutral
261,Female,United States of America,more than 20 years,Experiment,> 500 members,No,No,Yes,Yes,Yes,No,No,Very unhelpful,Very unhelpful,Somewhat helpful,Somewhat helpful,Very unhelpful
263,Male,United States of America,16 - 20 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Somewhat helpful,Somewhat helpful,Neutral,Somewhat helpful,Somewhat helpful
264,Male,United States of America,more than 20 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Neutral
266,Male,United States of America,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,Yes,No,No,Somewhat helpful,Somewhat helpful,Very unhelpful,Very unhelpful,Very unhelpful
267,Male,the United Kingdom of Great Britain and Northern Ireland,11 - 15 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Very unhelpful,Very unhelpful,Very unhelpful,Somewhat helpful,Very unhelpful
269,Male,Portugal,more than 20 years,Experiment,> 500 members,No,No,Yes,No,No,No,No,Very helpful,Very helpful,Very helpful,Somewhat unhelpful,Somewhat helpful
270,Female,United States of America,5 - 10 years,Experiment,> 500 members,Yes,Yes,Yes,Yes,No,No,No,Very helpful,Very helpful,Somewhat helpful,Somewhat helpful,Very helpful
273,Male,France,11 - 15 years,Experiment,> 500 members,No,No,No,No,Yes,No,No,Neutral,Neutral,Somewhat helpful,Somewhat helpful,Neutral
274,Male,Mexico,more than 20 years,Experiment,> 500 members,No,Yes,No,No,No,No,No,Somewhat helpful,Very helpful,Very helpful,Very helpful,Very helpful
276,Male,United States of America,5 - 10 years,Experiment,> 500 members,No,No,No,Yes,No,No,No,Neutral,Neutral,Somewhat helpful,Somewhat helpful,Somewhat helpful
277,Male,France,more than 20 years,Experiment,> 500 members,No,No,No,No,No,Yes,No,Somewhat helpful,Very unhelpful,Very unhelpful,Very unhelpful,Neutral
