id,Gender,Country,Seniority,Field,p4q1T_O,p4q1E_O,p4q2_O,p5q1_N,p7q2
142,Male,France,less than 5 years,Experiment,,,,,
144,Male,Slovakia,more than 20 years,Experiment,,,,Near impossibility to explain all subtleties of my code and data. Fear of missinterpretation - unintentional or intentional -  of results.,Only those who produce the code and data know all subtle details of the analysis. Independent referee may be more confused than enlightened. Published results must be reproducible by independent research not biased by existing code and data.
145,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,,,,,
146,Female,Spain,16 - 20 years,Experiment,,,,,
147,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,Not clear if you mean internal or external peer review
148,Female,Italy,16 - 20 years,Experiment,,,,,
149,Female,Italy,more than 20 years,Experiment,,,,,
152,Female,Netherlands,more than 20 years,Experiment,,,,,
157,Male,Germany,less than 5 years,Experiment,,,,,
159,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,,,,,I like Open/Libre most things.
161,Female,United States of America,less than 5 years,Experiment,,,,,
162,Male,China,5 - 10 years,Experiment,,,,,
164,Male,Switzerland,5 - 10 years,Experiment,,,,,
165,Prefer not to say,France,less than 5 years,Experiment,,,,,
166,Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
167,Male,Spain,16 - 20 years,Experiment,,,,,I doubt the reviewers will be able to go over data or code...
168,Male,Netherlands,5 - 10 years,Experiment,,,,,I think it would be very helpful to the review process if guidelines existed in how to make an analysis reproducible using a standard process and standard software. That should include material on how to fulfill such guidelines in practice.
170,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
171,Male,Sweden,5 - 10 years,Experiment,,,,,
173,Male,Germany,5 - 10 years,Experiment,,,,,
174,Male,Switzerland,16 - 20 years,Experiment,,,,,
175,Male,Italy,more than 20 years,Experiment,,,,,
176,Male,France,more than 20 years,Experiment,,,,"If we speak on the input data to analysis, I think it will be misused and results most likely incorrect. Then it will fall back on us to disprove the results.","I assumed when filling this survey that the data we are atlking about is the input to the analysis, not the final tables/figures that we already share with e.g. HepData."
177,Male,Italy,more than 20 years,Experiment,,,,,
178,Male,Italy,more than 20 years,Experiment,,,,,Large HEP collaborations have alreay adopted twiki pages and internal notes as standard components for the internal review process. This may become an overhead difficult to stand for small collaborations.
179,Male,Switzerland,5 - 10 years,Experiment,,,,,
180,Male,Germany,11 - 15 years,Experiment,,,,,
182,Female,United States of America,more than 20 years,Experiment,,,,,
185,Male,Germany,more than 20 years,Experiment,,,,,
186,Male,Italy,more than 20 years,Experiment,,,,,
187,Male,Switzerland,11 - 15 years,Experiment,,,,,
189,Male,Switzerland,5 - 10 years,Experiment,,,,,"I think that the idea of public code is interesting, but evaluating it as part of the peer-review procedure is not feasible.  Furthermore, such practices would have to be globally enforced, or else some experiments will have much faster publications than others due to the amount of time it takes to make something externally usable without understanding all of the details.  For the large LHC collaborations, there are literally thousands of people working on the code for results, and it often takes very specialized people to connect everything together.  Releasing it publicly in a form that anyone can pick up and use is an enormous overhead that would likely block physics results."
190,Male,Sweden,less than 5 years,Experiment,,,,,
193,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
194,Male,France,11 - 15 years,Experiment,,,,,
195,Male,Slovakia,less than 5 years,Experiment,,,,,
197,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,
198,Male,United States of America,more than 20 years,Experiment,,,,"Raw data - which is what I assume you are talimng about, is unintelligible to other collaborations",
199,Male,China,11 - 15 years,Experiment,,,,,
200,Male,France,5 - 10 years,Experiment,,,"Funding bodies should decide, but moreover should provide the means to maintain that, not just policies to be followed. Without that a collaboration-level decision is what is more appropriate.",,"Full Data & code are too complex in HEP to be reviewable per paper. The experiments internal review before publication already are meant to take care of that. Wiki pages and presentations could be helpful, but might be more confusing for an external audience that is not following the experiment's history. My impression is that if all code/data went into the review, publishing would become extremely time consuming for everybody."
202,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,,,,,
203,Male,Switzerland,11 - 15 years,Experiment,,,,,
204,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,"I find this survey very difficult. For example,  questions which mix data and code can have very different answers"
205,Female,Norway,5 - 10 years,Experiment,,,,,
208,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
209,Male,Italy,more than 20 years,Experiment,,,,,
212,Male,Czech Republic,less than 5 years,Experiment,,,,,
213,Male,Poland,5 - 10 years,Experiment,,,,,
215,Male,Italy,more than 20 years,Experiment,,,,,
216,Male,Canada,11 - 15 years,Experiment,,,,,
217,Male,Brazil,more than 20 years,Experiment,,,,,
219,Male,United States of America,16 - 20 years,Experiment,,,,,
220,Male,Germany,5 - 10 years,Experiment,,,,,
221,Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,after an embargo period set by collaborations,,,"data or code would be unhelpful, but both data and code would be very helpful"
222,Male,Denmark,5 - 10 years,Experiment,,,,,
223,Female,Brazil,more than 20 years,Experiment,,,,,
224,Male,United States of America,more than 20 years,Experiment,,,,"Why would people take data, if they can get it for free.",
225,Male,United States of America,more than 20 years,Experiment,,,,,
226,Female,United States of America,11 - 15 years,Experiment,,,,,
228,Male,United States of America,more than 20 years,Experiment,,,,,
229,Male,United States of America,more than 20 years,Experiment,,,,"Complexity of data and its analysis from my experiments requires scrutiny of fellow collaborators. This kind of scrutiny cannot be provide in publishing stage. I know of multiple examples of worthless work published when data was analyzed without such controls. Irresponsible data sharing can mean death of science. I am not against data/code sharing in general. However, one model fits all in dangerous.","I assumed that “peer review process” means external-to-the-collaboration journal-level peer review process. The answers would have been quite different if by “peer review” the internal peer review within the same experimental collaboration was meant.  Complexity of most of contemporary analyses from high-energy experiments is such that even internal review, done by people familiar with the equipment, data –taking conditions and software infrastructure is hard to do. An idea that this could be outsourced to external journal reviewers is a dangerous lunacy."
230,Male,France,16 - 20 years,Experiment,,,,,
232,Male,France,less than 5 years,Experiment,,,,,
233,Male,Czech Republic,less than 5 years,Experiment,,,,,
234,Male,United States of America,more than 20 years,Experiment,,,,,
237,Male,Spain,more than 20 years,Experiment,,,,,
238,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,
239,Male,Germany,5 - 10 years,Experiment,,,,,
240,Male,United States of America,less than 5 years,Experiment,,,,,
242,Male,Brazil,more than 20 years,Experiment,,,,,
243,Male,Germany,11 - 15 years,Experiment,,,,,"There is an ambiguity of data/code at which level is to be provided. In HEP I am typically not interested in the analysis code within some experiment software which I can't run anyway, but on an analysis code which runs in e.g. Rivet or other frameworks for analysis preservation after detector corrections."
244,Male,India,less than 5 years,Experiment,,,,,
246,Male,United States of America,more than 20 years,Experiment,,,,,"Although note that even within a collaboration, with documentation for new collaborators, it's really hard to get up to speed on the software.  I doubt reviewers will want to put in weeks learning how to use these proposed tools."
248,Male,Germany,more than 20 years,Experiment,,,,,
251,Female,Spain,more than 20 years,Experiment,,,,,
252,Male,United States of America,more than 20 years,Experiment,,,,,
253,Male,United States of America,11 - 15 years,Experiment,,,,,"it's not useful to distringuish between code and script. in general by code one should consider any computer program.or system used in an analysis (including DB data, resource files)"
255,Male,United States of America,5 - 10 years,Experiment,,,,,
257,Male,United States of America,more than 20 years,Experiment,,,,,
258,Male,United States of America,16 - 20 years,Experiment,,,,,
259,Male,United States of America,11 - 15 years,Experiment,,,,,
260,Prefer not to say,United States of America,5 - 10 years,Experiment,,"Code needs to be examined both for internal review and publication. Result data publication should accompany the publication. Input datasets, like a CMS dataset, should be published separately following the practices of telescope data.","The HEP community as a whole should decide and set practices for data. Code publication should be decided by code authors, but should be required to be reviewed with rules set by collaborations or the field as a whole.",,Most physics papers are just text descriptions of their code. The code is the publication and should be the primary focus of peer review; not the paper.
261,Female,United States of America,more than 20 years,Experiment,,,,,I do data management for HEP.  Open access to full data is technologically impossible without more resources to support it even though I’d like it to be accessible.
263,Male,United States of America,16 - 20 years,Experiment,,,,,
264,Male,United States of America,more than 20 years,Experiment,,,,,
266,Male,United States of America,5 - 10 years,Experiment,,,,,
267,Male,the United Kingdom of Great Britain and Northern Ireland,11 - 15 years,Experiment,,,,"Would require a lot of additional work, no incentive to do it from metrics used by future employers.",
269,Male,Portugal,more than 20 years,Experiment,,,,,
270,Female,United States of America,5 - 10 years,Experiment,,,,,
273,Male,France,11 - 15 years,Experiment,,,,,
274,Male,Mexico,more than 20 years,Experiment,,,,,
276,Male,United States of America,5 - 10 years,Experiment,,,,,"I feel this might make a bigger difference in smaller, non-HEP experiments like some of the dark matter experiments or smaller astronomical surveys."
277,Male,France,more than 20 years,Experiment,,,,,
278,Male,United States of America,5 - 10 years,Experiment,,,,,
279,Male,Republic of Korea,less than 5 years,Experiment,,,,,
280,Female,United States of America,less than 5 years,Experiment,,,,,
281,Male,United States of America,more than 20 years,Experiment,,,,I don't think very complex analysis software is useful.,
282,Female,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,,,,,
285,Female,Canada,5 - 10 years,Experiment,,,,,
287,Male,United States of America,less than 5 years,Experiment,,,,,
288,Male,Ecuador,5 - 10 years,Experiment,,,,,
289,Female,United States of America,5 - 10 years,Experiment,,,,,
290,Male,United States of America,more than 20 years,Experiment,,,,,
292,Male,United States of America,more than 20 years,Experiment,,,,,Public release of data and code from a large experiment seems to be completely unrealistic and of little use to anyone.
293,Male,Canada,less than 5 years,Experiment,,,,,
295,Male,Germany,less than 5 years,Experiment,,,,,
296,Male,France,more than 20 years,Experiment,,,,,
297,Female,United States of America,less than 5 years,Experiment,,,,,
298,Female,France,more than 20 years,Experiment,,,,,
299,Male,United States of America,less than 5 years,Experiment,,,,,
301,Male,Russian Federation,more than 20 years,Experiment,,,,,
303,Male,United States of America,5 - 10 years,Experiment,,,,,
304,Male,Canada,5 - 10 years,Experiment,,,,,
305,Male,United States of America,5 - 10 years,Experiment,,,,,
307,Male,United States of America,more than 20 years,Experiment,,,,,
309,Male,Canada,more than 20 years,Experiment,,,,,
311,Male,United States of America,5 - 10 years,Experiment,,,,,don't know how much time peer reviewers have
313,Male,United States of America,more than 20 years,Experiment,,,,,
315,Male,Czech Republic,less than 5 years,Experiment,,,,,"The software is often very complex, who outside of the collaboration would have the time and will to actually review it?"
316,Female,United States of America,less than 5 years,Experiment,,,,,
318,Male,Canada,5 - 10 years,Experiment,,,,,
320,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,Large collaborations have datasets used by 100s of analyses. When the raw dataset should be released needs careful consideration.,,,will the reviewer have time to try to look at this?
321,Male,United States of America,5 - 10 years,Experiment,,,,,
322,Male,Brazil,more than 20 years,Experiment,,,,,
323,Male,United States of America,more than 20 years,Experiment,,,,,
324,Male,Greece,5 - 10 years,Experiment,,From the beginning,,,
326,Female,Republic of Korea,more than 20 years,Experiment,,,,,
329,Male,United States of America,more than 20 years,Experiment,,,,,
330,Male,United States of America,more than 20 years,Experiment,,,,,
332,Female,United States of America,5 - 10 years,Experiment,,,,,
334,Male,Denmark,16 - 20 years,Experiment,,,,,
335,Male,Turkey,5 - 10 years,Experiment,,,,,
337,Male,Germany,5 - 10 years,Experiment,,,,,
339,Female,France,5 - 10 years,Experiment,,,,,
340,Male,Germany,more than 20 years,Experiment,,,,,
342,Male,United States of America,more than 20 years,Experiment,,,,,Making the huge and complex HEP data sets _and_ code available would be too complicated.
344,Male,Switzerland,less than 5 years,Experiment,,,,,
345,Male,Germany,5 - 10 years,Experiment,,,,,
348,Female,Brazil,16 - 20 years,Experiment,,,,,
349,Male,United States of America,less than 5 years,Experiment,,,,,
350,Male,Belgium,more than 20 years,Experiment,,,,,
351,Male,Russian Federation,more than 20 years,Experiment,,,,,
355,Male,Italy,11 - 15 years,Experiment,,,,,
358,Male,Russian Federation,5 - 10 years,Experiment,,,,,
359,Female,Italy,more than 20 years,Experiment,,,,,
360,Male,France,more than 20 years,Experiment,,A given time after the publication,,,
362,Male,Belgium,16 - 20 years,Experiment,,,,,
363,Male,France,more than 20 years,Experiment,,,,,
364,Female,Germany,5 - 10 years,Experiment,,,,,
365,Female,Portugal,less than 5 years,Experiment,,,,,
366,Male,France,more than 20 years,Experiment,,,,,
367,Male,United States of America,less than 5 years,Experiment,,,,,
368,Male,Switzerland,more than 20 years,Experiment,,,,,
369,Male,Canada,less than 5 years,Experiment,,,,,
370,Male,Belgium,16 - 20 years,Experiment,,,,,
372,Female,Italy,more than 20 years,Experiment,,,,,
373,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
376,Male,Slovakia,more than 20 years,Experiment,,,,,
377,Male,New Zealand,16 - 20 years,Experiment,,,,,
378,Male,France,more than 20 years,Experiment,,,,,
379,Male,France,less than 5 years,Experiment,,,,,
380,Male,France,11 - 15 years,Experiment,,,,,
382,Male,France,more than 20 years,Experiment,,,,,
383,Male,Spain,more than 20 years,Experiment,,,,,
384,Male,Italy,more than 20 years,Experiment,,,,,
385,Male,Netherlands,less than 5 years,Experiment,,"After the experiment has made the most of the collected data, i.e., some years after its collection",,,
386,Male,Russian Federation,5 - 10 years,Experiment,,,,,
388,Male,Italy,16 - 20 years,Experiment,,,,,
389,Female,Canada,5 - 10 years,Experiment,,,,,
390,Male,Netherlands,16 - 20 years,Experiment,,,,,Scripted workflow is part of the code.
391,Male,United States of America,more than 20 years,Experiment,,,,,
393,Male,Germany,more than 20 years,Experiment,,,,,
395,Female,Spain,more than 20 years,Experiment,,,,,
397,Male,Japan,more than 20 years,Experiment,,,,,
398,Male,Austria,less than 5 years,Experiment,,,,,
399,Male,China,more than 20 years,Experiment,,,,,
402,Female,Canada,less than 5 years,Experiment,,,,,
403,Male,Germany,11 - 15 years,Experiment,,,,,
404,Female,United States of America,more than 20 years,Experiment,,,,Collaborations share data and code internally. There is no benefit to sharing code or data externally.,"External review of INTERNAL collaboration documentation (code, data, pages, slides, scripts) is a huge amount of effort for the peer reviewers.  The internal collaboration review process has a lengthy number of steps with expert review inside the collaboration."
409,Male,Italy,more than 20 years,Experiment,,,,,
410,Male,United States of America,5 - 10 years,Experiment,,,,,
411,Male,Germany,less than 5 years,Experiment,,,,,
412,Male,Germany,more than 20 years,Experiment,,,,,
413,Female,Germany,more than 20 years,Experiment,,,,We usually need the results not the raw data and the code as one needs a lot of internal knowledge to be able to repeat the full data extraction,
414,Male,United States of America,11 - 15 years,Experiment,,,,,
416,Male,Japan,more than 20 years,Experiment,,,,,
418,Male,Netherlands,more than 20 years,Experiment,,,,,
419,Male,Canada,more than 20 years,Experiment,,,,,
420,Male,United States of America,11 - 15 years,Experiment,,,,,
422,Male,Germany,less than 5 years,Experiment,,,,,
424,Male,Italy,more than 20 years,Experiment,,,,,The real issue is the complexity and size of the underlying code and data
426,Female,United States of America,5 - 10 years,Experiment,,,,,
428,Male,United States of America,more than 20 years,Experiment,,,,,"I assume ""data"" means analysis files, not raw data.  Also, what we call ""data"" most vary greatly between experiments."
429,Male,Italy,less than 5 years,Experiment,,,,,
430,Female,Sweden,less than 5 years,Experiment,,,,,
431,Male,India,16 - 20 years,Experiment,,,,,
432,Male,United States of America,less than 5 years,Experiment,,,,,
434,Male,United States of America,16 - 20 years,Experiment,,,,,"Reviewing the code etc will be much too difficult/time consuming for an external reviewer. However, the internal process to review code and verifications of its correctness should be documented alongside the manuscript."
435,Male,Italy,5 - 10 years,Experiment,,,,,
439,Male,Switzerland,11 - 15 years,Experiment,,,,,
441,Prefer not to say,Switzerland,5 - 10 years,Experiment,,,i don't see any of the above clear good solutions,,"dumping millions of lines of code on a (physics?) reviewer (who might speak a different programming language) won't get us anywhere. ""analysis code"" is way too vaguely defined and any substantial amount is unreviewable."
443,Male,Belgium,5 - 10 years,Experiment,,,,,
446,Male,Italy,16 - 20 years,Experiment,,,,,
448,Male,Germany,more than 20 years,Experiment,,,,,
449,Female,United States of America,16 - 20 years,Experiment,,,,,"large experimental collaboration analysis code often has dependencies on other parts of the code and would be impossible to review in a timely fashion. However, there are internal reviews and plenty of validation plot cross-checks that can and are done. So one has to be careful what is deemed a ""code review""."
450,Prefer not to say,Italy,11 - 15 years,Experiment,,,"No one should decide. If limits are set to data accessibility, it will no longer be open. Anybody should be able to access with no restrictions.",,
451,Female,Bulgaria,5 - 10 years,Experiment,,,,,
455,Male,Italy,5 - 10 years,Experiment,,,,,
457,Male,Italy,16 - 20 years,Experiment,,,,,
458,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
459,Male,France,more than 20 years,Experiment,,,,,
460,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,,,,,Elements that are likely not to be accessed by future readers of the paper should not be considered in the review process
461,Male,the United Kingdom of Great Britain and Northern Ireland,16 - 20 years,Experiment,,"If there is no reservations, such as potential commercial use",,,
462,Male,Germany,5 - 10 years,Experiment,,,,,
463,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,"Increasing the burdens on reviewers, who are unpaid, is a bad direction to go and should be discouraged."
466,Male,Poland,more than 20 years,Experiment,,At least one year after publication.,,,
468,Female,China,5 - 10 years,Experiment,,,,,
470,Male,France,less than 5 years,Experiment,,,,,
471,Male,Germany,less than 5 years,Experiment,,,,,"Although the code might be interesting, it will slow down the process enormously and in most cases it just does not help"
479,Male,Denmark,more than 20 years,Experiment,,,,,
480,Prefer not to say,France,less than 5 years,Experiment,,,,,
481,Female,Germany,less than 5 years,Experiment,,,,,
482,Female,Republic of Korea,11 - 15 years,Experiment,,,,,
486,Male,United States of America,less than 5 years,Experiment,,,,,
487,Male,Switzerland,less than 5 years,Experiment,,,,,
489,Male,United States of America,11 - 15 years,Experiment,,,,,
490,Female,India,5 - 10 years,Experiment,,,,,
493,Female,the United Kingdom of Great Britain and Northern Ireland,11 - 15 years,Experiment,,,,,
495,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,,,,,
496,Male,Russian Federation,16 - 20 years,Experiment,,,,,
497,Male,the United Kingdom of Great Britain and Northern Ireland,16 - 20 years,Experiment,,,,,
501,Prefer not to say,Italy,5 - 10 years,Experiment,,,,,
502,Male,Italy,11 - 15 years,Experiment,,,,,
507,Female,India,less than 5 years,Experiment,,,,,
509,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,
511,Male,Germany,less than 5 years,Experiment,,,,,
512,Male,Turkey,less than 5 years,Experiment,,,,,
516,Male,Italy,more than 20 years,Experiment,,,,,
518,Male,United States of America,16 - 20 years,Experiment,,,,,
519,Male,Poland,more than 20 years,Experiment,,,,,
520,Female,Romania,11 - 15 years,Experiment,,,,,
521,Male,the United Kingdom of Great Britain and Northern Ireland,16 - 20 years,Experiment,,,,,
522,Male,Austria,11 - 15 years,Experiment,,"When the dataset has been analyzed by the collaboration, that is, typically after 3-5 years.",,,"The collaboration needs to have a safe space where statements can be exchanged that are not readily defendable in front of the general public. For this reason, e.g. slides, can only contain material approved by the collaboration and hence reproduce the paper content + the extra material."
523,Male,United States of America,5 - 10 years,Experiment,,,,,"reviewing this will be such a burden on the peer reviewer, they will never go through it"
527,Male,Switzerland,5 - 10 years,Experiment,,,,,
528,Male,Italy,16 - 20 years,Experiment,,,,,
530,Male,France,more than 20 years,Experiment,,,,,
532,Male,United States of America,5 - 10 years,Experiment,,,,,
533,Female,United States of America,11 - 15 years,Experiment,,,,,
534,Male,United States of America,5 - 10 years,Experiment,,,,,
539,Male,Germany,more than 20 years,Experiment,,,,,
541,Male,Norway,less than 5 years,Experiment,,,,,
542,Male,Slovenia,more than 20 years,Experiment,,,,,
544,Male,Romania,5 - 10 years,Experiment,,,,,
548,Male,Austria,more than 20 years,Experiment,,,,Data are too complex to be analysed by outsiders,
549,Female,Italy,5 - 10 years,Experiment,,,,,
550,Male,Russian Federation,more than 20 years,Experiment,,,,,
555,Male,France,more than 20 years,Experiment,,,,,
556,Male,France,16 - 20 years,Experiment,,,,,
558,Female,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
561,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,
562,Male,the United Kingdom of Great Britain and Northern Ireland,5 - 10 years,Experiment,,,,,
568,Female,Germany,less than 5 years,Experiment,,,,,Can someone finally fix vydio to be usable with Ubuntu?!?!
569,Prefer not to say,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,
570,Male,Croatia,more than 20 years,Experiment,,,,,"The basic problem in sharing open data, and the reason why I am reluctant to support it completely, that data as such without a lot of auxiliary knowledge present in the experiment, could be misinterpreted and lead to wrong results"
573,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,"Hard to separate out general analysis framework of a collaboration from specific codebase of one paper. A 50k+ line code base can not feasibly be reviewed, snippets can but then there is a strong selection bias."
574,Male,Italy,more than 20 years,Experiment,,,,,
577,Male,Austria,5 - 10 years,Experiment,,,,,
579,Female,the United Kingdom of Great Britain and Northern Ireland,11 - 15 years,Experiment,,,,,
580,Male,Germany,more than 20 years,Experiment,,,,,
583,Prefer not to say,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,bureaucrats should mind their own buisness and leave us alone to do real work,,
584,Male,Israel,5 - 10 years,Experiment,,,,,
585,Male,the United Kingdom of Great Britain and Northern Ireland,less than 5 years,Experiment,,,,,
586,Male,Germany,5 - 10 years,Experiment,,,,,
590,Female,Hungary,less than 5 years,Experiment,,,,,
594,Male,Slovenia,more than 20 years,Experiment,,,,,
595,Male,Germany,less than 5 years,Experiment,,,,,
598,Female,Germany,less than 5 years,Experiment,,,,,
599,Male,United States of America,16 - 20 years,Experiment,,,,,
600,Female,Switzerland,more than 20 years,Experiment,,,,,There is no need to have coding and data as part of the review. Once they are public anyone else could publish papers that confirm or not the paper.
606,Male,Turkey,16 - 20 years,Experiment,,,,,
611,Male,United States of America,11 - 15 years,Experiment,,,,,"Code snippets and summaries are great (i.e. what we post on HEPData in Rivet format, etc.). Open data is less necessary IMO-- too many caveats on the analysis to make the data useful to the public."
614,Male,Italy,5 - 10 years,Experiment,,,,,"Presentation Slides can be sometime misleading: Researchers learn from discussions. Unless, very carefully documented, presented slides in internal meetings/gathering can be totally misleading sometimes. However, conference slides should be OA."
616,Male,the United Kingdom of Great Britain and Northern Ireland,more than 20 years,Experiment,,,,,
620,Male,Spain,16 - 20 years,Experiment,,,,,
621,Male,United States of America,5 - 10 years,Experiment,,,,,
626,Male,France,more than 20 years,Experiment,,,,,
629,Male,Italy,5 - 10 years,Experiment,,,,,
638,Male,India,less than 5 years,Experiment,,,,,
639,Male,Germany,more than 20 years,Experiment,,,,,
645,Male,Spain,more than 20 years,Experiment,,,,,
