id,Gender,Country,Seniority,Field,OS_BeneDiscipline,OS_BeneIndividual,OS_BenePublic,OA_ChSeeking,OA_ChSub,OD_aware,OD_seeking,OD_using,OD_sharing,OD_none,OD_publish,OD_anyone,OD_helpful,OD_dontaffect,Who_decide,Sharing_asked,Sharing_shared,Sharing_never,Sharing_not_interested,Sharing_addedwork,Sharing_rights,Sharing_competition,Sharing_quality,Sharing_essential,Sharing_selfeval,Sharing_request,Sharing_responsiblyused,Sharing_required,Doc_askpeople,Doc_reproduc,Doc_unproductive,Doc_unuseful,Rev_coderev,Rev_qualitynotaffect,Rev_doc,Rev_docreadywhenpublish,Tool_codemanage,Tool_issuetracker,Tool_docmanage,Tool_coediting,Tool_eventmanage,Tool_notebook,Happy_codemanage,Happy_issuetracker,Happy_docmanage,Happy_coediting,Happy_refmanage,Happy_eventmanage,Happy_notebook,Tool_endorsement,Tool_efficient,Tool_easy,Tool_peers
36,Female,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,No,No,No,No,Yes,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Collab,Yes,Yes,No,No,Not at all affect,Neutral,Rarely affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Rarely affect,Not at all affect,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Neutral,Somewhat agree,Daily,Once a year,Weekly,Weekly,Weekly,Less than once a year,Very satisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,Moderately satisfied,Moderately dissatisfied,Moderately satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
39,Male,Netherlands,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,No,No,No,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Community,Yes,Yes,No,No,Somewhat affect,Affect a lot,Neutral,Affect a lot,Neutral,Somewhat affect,Affect a lot,Neutral,Not at all affect,Neutral,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Daily,Weekly,Weekly,Weekly,Daily,Daily,Very satisfied,Moderately dissatisfied,Moderately satisfied,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,Moderately satisfied,Neutral,Affect a lot,Affect a lot,Affect a lot
40,Female,United States of America,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly disagree,Yes,No,No,No,No,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Collab,Yes,Yes,No,No,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,Somewhat agree,Neutral,Weekly,Monthly,Daily,Monthly,Daily,Less than once a year,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,No experience,Neither satisfied nor dissatisfied,No experience,Affect a lot,Somewhat affect,Affect a lot,Affect a lot
42,Male,France,Junior,Experiment,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Yes,Yes,No,No,No,Somewhat agree,Strongly disagree,Neutral,Strongly agree,Community,Yes,Yes,No,No,Rarely affect,Affect a lot,Neutral,Somewhat affect,Rarely affect,Rarely affect,Not at all affect,Somewhat affect,Affect a lot,Neutral,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly agree,Somewhat disagree,Somewhat agree,Daily,Weekly,Daily,Weekly,Daily,Less than once a year,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Neutral,Neutral,Somewhat affect,Affect a lot
45,Female,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Yes,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Community,Yes,Yes,No,No,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Weekly,Weekly,Weekly,Weekly,Weekly,Less than once a year,Very satisfied,Moderately satisfied,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,No experience,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot
46,Male,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Neutral,No,No,No,No,Yes,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Collab,No,Yes,No,No,Rarely affect,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat disagree,Daily,Less than once a year,Weekly,Weekly,Daily,Once every 3 months,Moderately satisfied,No experience,Neither satisfied nor dissatisfied,Moderately satisfied,No experience,Very satisfied,No experience,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
49,Male,United States of America,Senior,Experiment,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Yes,No,No,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Individual,No,No,No,Yes,Affect a lot,Not at all affect,Affect a lot,Not at all affect,Not at all affect,Rarely affect,Not at all affect,Affect a lot,Affect a lot,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Less than once a year,Less than once a year,Less than once a year,Monthly,Twice a year,Less than once a year,No experience,No experience,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No experience,Neither satisfied nor dissatisfied,Very dissatisfied,Somewhat affect,Neutral,Neutral,Neutral
52,Male,Germany,Junior,Experiment,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat disagree,Yes,Yes,Yes,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Community,Yes,Yes,No,No,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Neutral,Affect a lot,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Daily,Daily,Weekly,Daily,Daily,Daily,Very satisfied,Moderately satisfied,Moderately satisfied,Moderately satisfied,No experience,Moderately satisfied,Very satisfied,Affect a lot,Affect a lot,Affect a lot,Neutral
53,Female,Czech Republic,Junior,Experiment,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Yes,Yes,Yes,No,No,Somewhat agree,Strongly agree,Strongly agree,Neutral,Collab,Yes,Yes,No,No,Neutral,Affect a lot,Not at all affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Neutral,Somewhat agree,Daily,Once every 3 months,Weekly,Once every 3 months,Daily,Twice a year,Very satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No experience,Moderately satisfied,Very satisfied,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect
54,Male,Germany,Junior,Experiment,Strongly agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Yes,No,No,No,No,Somewhat agree,Somewhat agree,Strongly disagree,Strongly agree,Community,Yes,Yes,No,No,Rarely affect,Somewhat affect,Not at all affect,Affect a lot,Rarely affect,Somewhat affect,Affect a lot,Somewhat affect,Affect a lot,Somewhat disagree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Weekly,Monthly,Daily,Daily,Daily,Less than once a year,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
55,Male,France,Junior,Experiment,Strongly agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Yes,Yes,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Collab,Yes,Yes,No,No,Rarely affect,Somewhat affect,Neutral,Somewhat affect,Somewhat affect,Rarely affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Daily,Weekly,Weekly,Weekly,Daily,Less than once a year,Very satisfied,Moderately satisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Moderately dissatisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
59,Male,Switzerland,Junior,Experiment,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Somewhat agree,Yes,No,No,No,No,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly disagree,Collab,No,No,Yes,No,Affect a lot,Not at all affect,Not at all affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Not at all affect,Neutral,Neutral,Somewhat agree,Strongly agree,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Somewhat disagree,Weekly,Once every 3 months,Monthly,Monthly,Daily,Less than once a year,Very satisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,Neither satisfied nor dissatisfied,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect
60,Male,Portugal,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,No,No,No,No,Yes,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Collab,Yes,Yes,No,No,Neutral,Somewhat affect,Somewhat affect,Rarely affect,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect,Neutral,Somewhat agree,Strongly agree,Somewhat disagree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Daily,Daily,Daily,Monthly,Daily,Weekly,Very satisfied,Very satisfied,Moderately dissatisfied,Moderately satisfied,No experience,Moderately satisfied,Very satisfied,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
61,Male,France,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,No,No,No,Strongly agree,Strongly agree,Neutral,Strongly agree,Collab,No,No,Yes,No,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Neutral,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly disagree,Strongly disagree,Monthly,Once a year,Twice a year,Weekly,Daily,Less than once a year,Moderately dissatisfied,Moderately dissatisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Neither satisfied nor dissatisfied,Very dissatisfied,Neither satisfied nor dissatisfied,Somewhat affect,Neutral,Affect a lot,Somewhat affect
62,Male,Belgium,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Yes,Yes,No,Yes,No,Strongly agree,Strongly agree,Somewhat agree,Neutral,Community,Yes,Yes,No,No,Somewhat affect,Affect a lot,Neutral,Neutral,Somewhat affect,Somewhat affect,Affect a lot,Neutral,Somewhat affect,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Somewhat agree,Somewhat agree,Daily,Once every 3 months,Weekly,Less than once a year,Weekly,Less than once a year,Very satisfied,Moderately satisfied,Moderately dissatisfied,No experience,No experience,Neither satisfied nor dissatisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot
63,Male,United States of America,Junior,Experiment,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,Yes,No,No,No,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Collab,Yes,Yes,No,No,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Neutral,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly agree,Neutral,Somewhat disagree,Daily,Once a year,Weekly,Weekly,Weekly,Less than once a year,Moderately satisfied,No experience,Moderately dissatisfied,Very satisfied,No experience,Very satisfied,No experience,Somewhat affect,Affect a lot,Affect a lot,Affect a lot
66,Male,the United Kingdom of Great Britain and Northern Ireland,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,Yes,No,No,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Community,Yes,No,No,No,Somewhat affect,Somewhat affect,Not at all affect,Somewhat affect,Affect a lot,Affect a lot,Affect a lot,Not at all affect,Somewhat affect,Somewhat agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Daily,Daily,Daily,Daily,Daily,Once every 3 months,Very satisfied,Moderately satisfied,Moderately dissatisfied,Very satisfied,No experience,Very satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Affect a lot,Affect a lot
68,Male,Russian Federation,Senior,Experiment,Neutral,Somewhat agree,Neutral,Somewhat disagree,Neutral,No,No,No,No,Yes,Strongly disagree,Strongly disagree,Somewhat disagree,Neutral,Collab,No,Yes,No,No,Not at all affect,Neutral,Neutral,Rarely affect,Rarely affect,Somewhat affect,Affect a lot,Somewhat affect,Neutral,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Somewhat agree,Daily,Monthly,Daily,Less than once a year,Weekly,Less than once a year,Moderately satisfied,Moderately satisfied,Moderately satisfied,No experience,No experience,Moderately satisfied,No experience,Somewhat affect,Somewhat affect,Somewhat affect,Neutral
69,Male,Germany,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Yes,No,No,No,No,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Collab,Yes,No,No,No,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Rarely affect,Somewhat affect,Not at all affect,Affect a lot,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Daily,Daily,Daily,Weekly,Weekly,Once every 3 months,Very satisfied,Moderately satisfied,Very dissatisfied,Moderately satisfied,Moderately dissatisfied,Moderately satisfied,Very satisfied,Affect a lot,Affect a lot,Affect a lot,Affect a lot
71,Male,the United Kingdom of Great Britain and Northern Ireland,Senior,Experiment,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Yes,No,No,No,No,Neutral,Somewhat disagree,Strongly disagree,Strongly agree,Collab,No,No,Yes,No,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Affect a lot,Somewhat affect,Neutral,Affect a lot,Affect a lot,Neutral,Strongly agree,Neutral,Somewhat disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Less than once a year,Less than once a year,Once a year,Less than once a year,Less than once a year,Less than once a year,No experience,No experience,Neither satisfied nor dissatisfied,No experience,No experience,Very satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Somewhat affect
73,Male,Italy,Junior,Experiment,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Yes,Yes,Yes,Yes,No,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Collab,Yes,Yes,No,No,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot,Strongly agree,Strongly agree,Neutral,Somewhat disagree,Somewhat disagree,Somewhat agree,Neutral,Somewhat agree,Daily,Monthly,Monthly,Weekly,Daily,Weekly,Very satisfied,Moderately satisfied,Moderately dissatisfied,Moderately satisfied,Moderately dissatisfied,Very satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Neutral,Somewhat affect
77,Female,Italy,Junior,Experiment,Neutral,Somewhat agree,Neutral,Somewhat agree,Neutral,Yes,No,No,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Individual,No,Yes,No,No,Affect a lot,Somewhat affect,Neutral,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly agree,Weekly,Monthly,Monthly,Weekly,Daily,Less than once a year,Very satisfied,Neither satisfied nor dissatisfied,Moderately satisfied,Very satisfied,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Affect a lot,Affect a lot
79,Male,Italy,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,No,No,No,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Collab,No,Yes,No,No,Somewhat affect,Affect a lot,Somewhat affect,Neutral,Neutral,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Monthly,Less than once a year,Weekly,Daily,Less than once a year,Less than once a year,Moderately satisfied,No experience,Moderately satisfied,Very satisfied,No experience,Moderately satisfied,No experience,Affect a lot,Affect a lot,Affect a lot,Affect a lot
80,Male,Austria,Junior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,Yes,Yes,No,No,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Collab,Yes,Yes,No,No,Rarely affect,Affect a lot,Somewhat affect,Neutral,Affect a lot,Affect a lot,Somewhat affect,Somewhat affect,Affect a lot,Strongly disagree,Strongly agree,Somewhat agree,Somewhat disagree,Neutral,Neutral,Somewhat agree,Strongly agree,Daily,Once every 3 months,Once every 3 months,Weekly,Weekly,Monthly,Very satisfied,No experience,No experience,Very satisfied,Very satisfied,Very satisfied,Very satisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
81,Male,Georgia,Junior,Experiment,Somewhat agree,Neutral,Neutral,Neutral,Neutral,No,No,No,No,Yes,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Funders,No,No,Yes,No,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Strongly disagree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Neutral,Weekly,Monthly,Daily,Once a year,Weekly,Less than once a year,Very satisfied,Moderately satisfied,Moderately satisfied,Moderately satisfied,No experience,Very satisfied,No experience,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect
83,Male,Italy,Senior,Experiment,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,No,Yes,Yes,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Community,No,Yes,No,No,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Affect a lot,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat affect,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neutral,Weekly,Once every 3 months,Less than once a year,Daily,Weekly,Weekly,Very satisfied,Moderately dissatisfied,Moderately dissatisfied,Very satisfied,Moderately dissatisfied,Moderately satisfied,Moderately satisfied,Somewhat affect,Affect a lot,Affect a lot,Somewhat affect
